Score,65b1e2253626af4a72b954f8186a5880,c40838cb3ed9babe51dc41185e70a3dd,685d37e93ba26197925353e58026ae10,08455b2e1e6fda910989f0481a20f1c3,6dca14e1af1795565d1e502ddc7d376b,28857e681fc6a9077d5a7d0e9c7a19ad,9e7f2b92c6e46d03ddcafd798aa80cb6,6e31e88a5dadaa3876eb5ff4293134c2,67a5b7ccde980b37576b993c79e176b0,bc7dc7a83b442a2bf4cf8cae3f0e0faa,8252d67358381873e07bb637ad177b83,a9d081cbb33e6051be2512f2a2269d65,e5a72ac8f4880702a4deacc7854318e8,a292411f3f563a47c05a78f8295163dc,5a72cb588bcda7b1b54a1eac6b19ab2e,45faf223af97fe9177daa3ad4002cf2f,29505dfcf090c4cfdfb59268160be81d,6549f23728c52d5319f30371ff709622,15a2ec07aaca45d454a2fbfc0624e75e,bb8042839130ce5597c358c1955706ff
5618.036853313446,71.7477695941925,90.19222617149353,92.33662128448486,108.17261409759521,136.94689989089966,121.14218926429749,283.2905888557434,194.09549760818481,386.57585287094116,190.4381809234619,173.41735553741455,374.26751732826233,280.99839901924133,324.5874400138855,225.2590970993042,422.1201362609863,477.33796310424805,591.5386924743652,520.0286951065063,553.5431168079376
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
69644.81429123878,1244.8142912387848,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
67363.11407899857,1532.3264887332916,1030.787590265274,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37096.32718086243,296.29130482673645,305.3901147842407,375.5425224304199,744.1083946228027,849.5334582328796,593.1746559143066,880.2514955997467,1462.930858373642,1486.6778247356415,1454.1431217193604,1062.9259684085846,963.7076528072357,1421.6498084068298,3600,3600,3600,3600,3600,3600,3600
69493.63845467567,1093.6384546756744,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57743.13621401787,205.60542726516724,394.0572497844696,789.9182322025299,3600,1236.5455839633942,1117.0097208023071,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
13539.923854351044,183.18706512451172,131.76359605789185,175.76865243911743,297.10580921173096,270.86696314811707,198.7936189174652,334.9554901123047,363.28005504608154,1351.3998301029205,385.3681848049164,359.7988934516907,695.45134973526,535.2684781551361,1370.8338141441345,1225.613700389862,1290.9102909564972,941.2216651439667,983.6142914295197,1132.4704401493073,1312.2516658306122
16601.161653995514,233.01425194740295,140.7554111480713,208.83258843421936,220.42475509643555,270.1336576938629,265.30627369880676,814.4361507892609,963.5573880672455,1123.451146364212,548.4243636131287,431.24285554885864,761.1920583248138,1031.444329738617,1573.7904987335205,1090.5243430137634,1280.8786489963531,1336.1951913833618,1600.4959411621094,1003.0321667194366,1704.0296335220337
2770.086805343628,55.980462074279785,65.25646042823792,68.98117852210999,81.87358593940735,101.01844072341919,83.83977961540222,133.21631717681885,116.85598611831665,143.15082097053528,134.49713730812073,128.82263374328613,151.07044863700867,95.3258798122406,172.9199321269989,220.3963418006897,158.51881575584412,152.59176921844482,249.71370649337769,193.31191754341125,262.7451913356781
2644.7886130809784,49.37420606613159,63.25866103172302,62.008841037750244,68.85600137710571,96.9216206073761,78.77835178375244,118.39175033569336,164.5568494796753,134.59864044189453,126.68384790420532,144.47161483764648,98.98148488998413,99.30022835731506,220.55145478248596,195.42332482337952,155.98042511940002,152.71382999420166,176.72274804115295,215.79317784309387,221.4215543270111
3330.355992078781,63.764870405197144,71.43045997619629,82.18440699577332,82.98244738578796,101.16381049156189,95.01898670196533,123.82680583000183,183.53749203681946,174.06218767166138,147.58259510993958,127.5988883972168,162.04040217399597,149.77711129188538,233.97606825828552,199.81067538261414,260.2550542354584,215.6289668083191,244.15468335151672,302.7527904510498,308.80728912353516
2807.8521542549133,55.9245491027832,64.53706431388855,64.86658382415771,71.17851519584656,97.62768793106079,89.73334836959839,119.32758688926697,142.0645730495453,150.18121552467346,140.62707352638245,115.91543889045715,128.27858328819275,160.48147058486938,205.12236404418945,131.43005561828613,192.96981120109558,172.30986094474792,240.45770812034607,218.8168351650238,246.0018286705017
18195.565100193024,225.4359154701233,156.26092791557312,229.87571263313293,371.5409781932831,303.65407824516296,249.39544773101807,931.1734282970428,946.4110198020935,1147.6625213623047,1004.7585537433624,429.15419816970825,918.6523461341858,624.9926829338074,979.024466753006,1192.3354773521423,3600,851.5023005008698,1127.6745274066925,1610.7353658676147,1295.3251516819
20895.640511989594,300.63364148139954,212.55589842796326,217.10174679756165,240.04472732543945,1302.7834169864655,204.83073091506958,568.8018441200256,1356.266678094864,898.6678550243378,891.7430579662323,794.3825206756592,1022.89302277565,594.0371491909027,1669.9054069519043,810.609450340271,825.2922992706299,724.8083312511444,3600,3600,1060.2827343940735
8731.336449861526,137.2487678527832,217.16735672950745,173.3645453453064,183.977956533432,260.9634099006653,261.063987493515,394.70455503463745,557.447084903717,501.1430745124817,383.75034189224243,315.3999812602997,451.93595147132874,374.41435861587524,552.1653916835785,609.1759226322174,540.6209018230438,503.37178587913513,669.4371480941772,725.8316996097565,918.1522285938263
18124.732748746872,236.24250388145447,275.2184908390045,181.64212775230408,280.7098343372345,378.7593455314636,336.3960757255554,443.3600573539734,726.8057923316956,897.9424233436584,807.6884150505066,565.9828417301178,3600,603.1596820354462,1020.059189081192,899.3072605133057,1332.9466032981873,1122.246150970459,1291.635816335678,1612.8859643936157,1511.7441742420197
13696.775452375412,178.94922518730164,212.94056820869446,167.07214832305908,294.0709705352783,375.3989534378052,154.46179175376892,480.4352357387543,639.0285656452179,1091.9513683319092,954.6123147010803,403.2166039943695,597.6615912914276,671.7058064937592,1024.5729749202728,941.3703768253326,992.9402484893799,946.2434160709381,1009.426543712616,1098.4325122833252,1462.2842364311218
23304.24228811264,154.90853142738342,360.6136963367462,272.3859112262726,405.2492735385895,445.5572147369385,472.2844548225403,617.078058719635,933.2784998416901,1047.5826623439789,659.4578125476837,1504.702287197113,869.0439443588257,594.6432483196259,3600,768.5683791637421,1183.0417504310608,1020.6294956207275,3600,1195.2170674800873,3600
16451.893442630768,158.84588646888733,277.2611436843872,259.8423960208893,362.13510632514954,427.49700260162354,254.48017239570618,612.7619972229004,740.6609230041504,1102.6604540348053,667.1031260490417,673.0166122913361,1104.7628211975098,682.2161290645599,1265.8143210411072,1174.7431690692902,957.6104154586792,1416.887972354889,1153.2946424484253,1609.9444088935852,1550.3547430038452
2903.3574249744415,66.13324618339539,60.30924367904663,66.76665186882019,87.29444932937622,99.05728149414062,84.61858463287354,141.96384143829346,127.28152894973755,164.21960425376892,124.89375257492065,144.81750559806824,183.09791707992554,118.13892889022827,178.37456369400024,159.958167552948,229.20631074905396,189.97591710090637,247.87504267692566,201.05932927131653,228.31555795669556
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25362.983977794647,172.76500153541565,231.7049205303192,680.617059469223,269.02372765541077,445.3171408176422,185.05196022987366,732.4281940460205,986.8050441741943,1277.1331176757812,804.6924262046814,635.3329107761383,1048.842529296875,803.805924654007,3600,1389.7622814178467,1447.3359923362732,3600,3600,1728.0113081932068,1724.3544387817383
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2986.4775183200836,42.62507772445679,51.34907793998718,64.16886115074158,62.774327516555786,86.8281238079071,78.61345601081848,178.26368737220764,260.5793857574463,160.3583562374115,112.43203639984131,159.03333497047424,129.98695254325867,167.18027782440186,182.1658570766449,190.63674879074097,184.6354901790619,173.67137598991394,244.22286367416382,245.04766511917114,211.90456223487854
20447.559603214264,196.49469304084778,220.2538948059082,204.3030970096588,344.7756597995758,483.3857264518738,295.89917278289795,793.5855386257172,1162.5979270935059,868.0416433811188,790.6046907901764,429.4933638572693,727.6787431240082,869.4359269142151,1770.7845969200134,1326.9176995754242,3600,1333.189574956894,1707.7945494651794,1728.4247844219208,1593.898320198059
3285.0172498226166,68.67839312553406,79.24092721939087,85.42632699012756,108.25240564346313,115.4236192703247,109.80450057983398,168.91628527641296,153.3876657485962,180.56306648254395,135.30110955238342,152.86527276039124,153.26272869110107,150.0762915611267,244.5277636051178,185.0735764503479,231.94097638130188,194.80538034439087,223.86575055122375,287.7463037967682,255.85890579223633
23795.997836351395,205.96504259109497,184.8318018913269,263.88711166381836,388.1380696296692,374.6148476600647,511.2614052295685,576.1115143299103,1319.238089799881,684.6448867321014,652.4921152591705,436.8388922214508,1079.2252881526947,826.9589681625366,1700.328717470169,1084.0959215164185,1646.9774606227875,3600,3600,1060.3877034187317,3600
15023.295216083527,151.36672472953796,187.7376959323883,226.89626598358154,399.75676703453064,223.89921307563782,244.81711411476135,476.68161964416504,761.0963990688324,1139.430376291275,495.78109550476074,258.60490584373474,476.68658447265625,474.48181772232056,1225.0852003097534,602.3790030479431,1092.1062598228455,1081.5423600673676,735.0296132564545,1169.9162001609802,3600
2880.219479560852,50.65154528617859,60.78107213973999,63.948943853378296,77.70900654792786,106.28935837745667,80.94478011131287,131.01092505455017,114.31395673751831,136.75848937034607,161.30306601524353,130.93317317962646,132.90935611724854,149.47916412353516,241.6620535850525,143.286634683609,184.71281957626343,196.30758786201477,229.4471230506897,253.96986937522888,233.80055451393127
2749.0220353603363,50.05941462516785,58.70230174064636,68.013423204422,74.17971062660217,97.36513829231262,94.52061557769775,127.15247559547424,142.54859852790833,131.59385871887207,147.4277000427246,115.87624979019165,116.753591299057,122.71534657478333,194.50309777259827,145.59644675254822,185.72700381278992,182.43349695205688,216.25144410133362,219.594810962677,258.0073103904724
9536.851032018661,170.6865313053131,181.82205820083618,207.31232905387878,201.35423398017883,260.40822315216064,215.25007677078247,382.30852580070496,432.44443225860596,573.6545085906982,297.5145125389099,302.36825037002563,343.9529719352722,335.2758569717407,1086.600433588028,777.0668592453003,757.4401304721832,836.5025262832642,704.6608414649963,710.5820641517639,759.645665884018
2776.472290992737,49.847355127334595,59.194679260253906,66.81124711036682,73.5633192062378,97.93143153190613,96.11607813835144,123.58540558815002,145.22389268875122,132.9406599998474,154.43895649909973,113.99071145057678,117.26824498176575,123.39572620391846,203.97802233695984,152.04541516304016,188.13523364067078,189.04668021202087,211.9901261329651,215.980464220047,260.988641500473
2767.604452610016,50.04485750198364,58.28650188446045,66.24971318244934,73.95101404190063,95.55657625198364,93.92468166351318,130.5661268234253,144.70823884010315,139.94787120819092,155.21575474739075,113.01656556129456,122.5275309085846,122.81249737739563,198.78878235816956,150.46143913269043,191.01228141784668,181.80824494361877,213.59426736831665,208.08947205543518,257.0420353412628
3039.15363240242,49.27949023246765,57.86532974243164,66.11175751686096,74.80272603034973,104.73522877693176,91.19925117492676,133.35397458076477,141.67861318588257,140.359361410141,149.4316976070404,118.559317111969,169.64839673042297,103.10328674316406,192.94896984100342,278.9207751750946,195.81296682357788,214.43367648124695,198.07391786575317,288.8261001110077,270.00879526138306
6030.890033245087,140.95449805259705,159.67626905441284,172.35253477096558,197.36063599586487,226.19662857055664,210.76671242713928,261.9257884025574,320.69391226768494,369.2330877780914,277.4320957660675,249.3222823143005,316.3319745063782,283.4231326580048,403.863340139389,348.063836812973,392.31873869895935,381.480494260788,415.5618212223053,445.4910235404968,458.4412260055542
