Score,71758ed7637888d4fd4593ec820677bc,751402d0738e5622b599c651283cb48a,af3d5273605b21b9d4c56dd46cbf366a,cea96962ebd736646af54d950943d909,faeb113864d97ea4cb3f01f95d2fe92f,1a40d2d8c589799a0d267cae03fcd4c5,9de6ddddf7fde06bf2efd955e2bd1a83,c1324a6876269ee93890e266fe214557,d84a89fb1bc1ff37dc4737867257b290,63159b6b10c3d6832bd5944e05d78b11,ed76b075cdf07435c6e4f6203dd10cb7,68649ac2830edad5d0dc7e3d13935132,bca01a49805df3399a0438191019e417,a18b6fbdfee43c007e07dedf15477797,a4941208671f6ebfd118e4e563538c31,eecdcc36d35f06224cc972cbb08de804,eec821f866557886a5b0352332943fa2,f35ed23733431177436a1e7797c07dfe,c1b5c3d1016de7baeb0ddb3a2ab2d891,c0069efa0c924e416878d9426f1ef92e
9734.477489948273,24.311238050460815,136.40430974960327,16.40039825439453,73.64184021949768,72.99105048179626,34.58638405799866,152.21279525756836,87.97332572937012,15.312845468521118,13.463605165481567,81.27133369445801,163.9610321521759,4.961681604385376,84.81187725067139,3600,872.9114811420441,151.37815880775452,3600,319.63289284706116,228.2512400150299
6929.307512521744,48.649723291397095,148.881582736969,52.366016149520874,10.086763858795166,88.93648838996887,37.99018168449402,92.77203607559204,50.45190238952637,87.79682898521423,94.8827896118164,97.63538312911987,48.695576667785645,25.21400761604309,155.96831798553467,221.10573434829712,86.09046721458435,13.270736455917358,1624.1217181682587,3600,344.39125776290894
6522.202667951584,46.3080677986145,85.3293080329895,49.75653100013733,9.773078441619873,87.3307523727417,46.83049464225769,89.05990791320801,87.16171669960022,89.15715003013611,50.104461669921875,24.655099153518677,23.182087421417236,92.35173082351685,63.386438608169556,238.64943075180054,24.52931308746338,24.50475263595581,3600,521.9264442920685,1268.2059025764465
6618.707525968552,14.889222383499146,14.236481428146362,140.24941444396973,67.32892107963562,38.45292949676514,36.73546624183655,35.63522958755493,108.45629644393921,139.26714372634888,146.52643990516663,1267.12291431427,76.65749788284302,78.14369344711304,77.03906750679016,121.85121297836304,25.75214433670044,260.55776047706604,3600,299.54332304000854,70.26236724853516
3022.709549188614,22.845370292663574,14.952286720275879,39.25492215156555,14.835678577423096,16.75674295425415,12.960632562637329,87.93276047706604,69.60403609275818,36.978615522384644,129.8649559020996,352.36056089401245,41.40506172180176,251.75419759750366,38.40448212623596,85.3051426410675,135.4752790927887,38.55652332305908,996.7212104797363,78.15418243408203,558.5869076251984
7981.23309803009,41.65480089187622,47.31412172317505,54.1088228225708,16.20287799835205,314.37765192985535,86.30036878585815,188.28313899040222,429.9598410129547,193.80412364006042,102.29216861724854,278.3297758102417,49.67278242111206,90.1228985786438,99.3301522731781,474.8015339374542,443.2442960739136,98.56286072731018,1333.3931500911713,39.477731704711914,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
12113.634647607803,79.37006187438965,79.36204218864441,17.090219736099243,12.827677965164185,16.975502252578735,91.58575463294983,164.24384593963623,77.41706490516663,163.44612741470337,81.36677479743958,775.10178399086,77.53314781188965,42.42890810966492,91.87603688240051,3600,430.2739472389221,157.4994933605194,3600,817.8061299324036,1737.4301285743713
8463.61187505722,81.2661075592041,130.38379454612732,46.884952545166016,45.58342504501343,206.60369610786438,19.85400891304016,21.751102209091187,134.89794445037842,207.2500765323639,46.54490327835083,138.22603106498718,81.18362545967102,215.5940089225769,219.99396800994873,3600,1426.1728661060333,46.72753119468689,285.711523771286,1112.032331943512,396.9499773979187
14198.427425146103,16.795904397964478,145.9582715034485,253.52994775772095,86.09320449829102,133.9481132030487,85.35286211967468,43.98154830932617,84.24040198326111,80.82314491271973,238.17898440361023,44.6973180770874,178.53008937835693,13.777535438537598,44.56844425201416,816.7867932319641,3600,89.34067440032959,3600,3600,1041.8241872787476
2463.7541179656982,34.457632541656494,35.37910842895508,68.87582230567932,81.21097922325134,37.88521909713745,69.39387059211731,352.07261633872986,239.61000990867615,87.68687558174133,35.41147303581238,264.0589454174042,64.4030909538269,248.01547741889954,34.35024333000183,233.36458778381348,60.5835599899292,69.30780792236328,241.63755869865417,116.33370280265808,89.71553659439087
14204.034508943558,16.803661823272705,145.76667165756226,254.0650508403778,86.40828108787537,133.73145461082458,85.21515560150146,44.250340700149536,84.61303329467773,80.4391040802002,237.85123085975647,44.8846652507782,178.8748528957367,13.879218578338623,44.80455660820007,817.9570322036743,3600,89.35424184799194,3600,3600,1045.1359570026398
4371.312050580978,36.9772675037384,11.759541034698486,169.02171874046326,30.43058753013611,30.697919368743896,34.083287477493286,35.28074383735657,231.9187364578247,70.43830275535583,45.14392447471619,93.39506793022156,144.79282522201538,40.49655723571777,553.313304901123,922.1064538955688,34.187105655670166,38.9491765499115,1526.5726940631866,300.4232668876648,21.32356905937195
2470.1590440273285,34.181045055389404,35.424094438552856,68.75734782218933,81.05802774429321,37.88609504699707,69.51747918128967,352.5871877670288,243.34674787521362,87.53031468391418,35.626497745513916,264.6571979522705,64.56883335113525,250.0663526058197,34.33241081237793,233.999205827713,60.57875394821167,69.51912569999695,240.59824681282043,116.10483956336975,89.8192400932312
13375.305918931961,64.24555253982544,116.02407121658325,328.71384859085083,67.68292284011841,121.786550283432,32.14283013343811,67.54612565040588,208.78246927261353,372.3521819114685,34.030431509017944,140.81911706924438,122.86439943313599,340.6570038795471,218.9481062889099,3600,3600,140.08009791374207,1481.824610710144,1601.915755033493,714.8898446559906
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
14060.895582914352,14.420058488845825,32.42866921424866,34.75759172439575,38.57901096343994,136.67173743247986,69.31643462181091,128.96406507492065,78.27885723114014,77.39761018753052,11.869021654129028,142.51390862464905,72.06066465377808,33.2215313911438,41.027390003204346,3600,1193.759259223938,13.737376689910889,3600,3600,1141.892395734787
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
12885.970589637756,32.40070724487305,122.66752028465271,368.673947095871,30.394669771194458,129.52765107154846,69.21790099143982,198.787122964859,70.12605023384094,186.52117609977722,65.29653906822205,536.0875771045685,138.35611152648926,30.34308099746704,717.5142588615417,3600,489.0619156360626,620.1099905967712,3600,1539.4522981643677,341.4320719242096
7494.81373667717,87.66911506652832,159.7010543346405,138.55714535713196,84.5228443145752,84.79920530319214,93.36656284332275,298.1444606781006,93.1905312538147,167.65305757522583,270.2041347026825,382.1809182167053,86.39476943016052,140.70072102546692,278.8469727039337,370.460294008255,48.50869965553284,175.88130855560303,3600.0,185.07546138763428,748.9564802646637
