Score,aacfb8797097f698d14337d3a04f3065,0191a0bf3412ed407ba669f8d69081ee,02066c116dbacc40ec5cca2067db26c0,8bf63d50ebdb645b75a24370b8f94d31,0ac5ff376b826f68d384ba05a1d00de0,3cff6c97a515aecfe46ba0f1256a3c11,83dc8f675657b3e6d148ef5cf897fb82,69e34d0f49c71a7e145d8104ebe0273f
18058.10566830635,1.6913657188415527,20.0753755569458,36.338927030563354,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
14566.39775466919,0.7549028396606445,5.916143894195557,115.81386137008667,3600,3600,43.91284656524658,3600,3600
25205.382932424545,5.382932424545288,3600,3600,3600,3600,3600,3600,3600
21661.977378606796,1.6476836204528809,60.329694986343384,3600,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
18267.409116506577,0.7844228744506836,234.50005841255188,32.124635219573975,3600,3600,3600,3600,3600
25204.435660600662,4.4356606006622314,3600,3600,3600,3600,3600,3600,3600
14483.986445903778,0.8130121231079102,29.575992345809937,20.43153190612793,3600,3600,33.1659095287323,3600,3600
25205.288155317307,5.2881553173065186,3600,3600,3600,3600,3600,3600,3600
18876.79051923752,1.5231728553771973,713.2598059177399,162.00754046440125,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
10438.820501804352,1.6377854347229004,1097.3001823425293,20.439026594161987,3600,3600,12.369704723358154,1493.0105650424957,614.0632376670837
14446.832859516144,1.009976863861084,9.969290733337402,20.64448618888855,3600,3600,15.209105730056763,3600,3600
14808.203428268433,0.7842352390289307,12.892032861709595,16.169013500213623,3600,3600,378.35814666748047,3600,3600
14694.058526992798,1.1034541130065918,57.08627009391785,55.74377703666687,3600,3600,180.12502574920654,3600,3600
14751.43930029869,1.5567665100097656,8.098946332931519,46.71094584465027,3600,3600,295.07264161109924,3600,3600
14495.637411355972,0.6782939434051514,9.812322616577148,63.91471743583679,3600,3600,21.2320773601532,3600,3600
12598.103389978409,2.3756186962127686,12.70386266708374,16.331711053848267,3600,3600,22.786097764968872,3600,1743.9060997962952
14615.05297589302,0.7079498767852783,188.35313653945923,14.378715515136719,3600,3600,11.613173961639404,3600,3600
12406.84274148941,1.1302504539489746,726.6626961231232,80.80253100395203,3600,3600,11.44858169555664,3600,786.7986822128296
10602.53913640976,0.9702885150909424,1213.7505779266357,19.324697732925415,1342.142079591751,3600,14.750107526779175,3600,811.6013851165771
12463.34922170639,1.1269748210906982,804.1193573474884,14.868907451629639,3600,3600,14.178649425506592,3600,829.055332660675
9493.425956726074,0.6728336811065674,168.91028356552124,13.779421329498291,1385.3876101970673,3600,16.93520188331604,3600,707.7406060695648
10099.963110923767,0.6372203826904297,429.6548936367035,5.576308727264404,1673.1644489765167,3600,10.05117678642273,3600,780.8790624141693
9492.195727825165,0.665910005569458,170.2872805595398,13.74877142906189,1384.0858397483826,3600,16.89934492111206,3600,706.508581161499
13123.766926288605,0.6474432945251465,474.83290553092957,8.798094987869263,3600,3600,122.4417188167572,3600,1717.0467636585236
18299.435216903687,0.5678367614746094,271.41720628738403,27.45017385482788,3600,3600,3600,3600,3600
18651.13133597374,0.6246662139892578,628.1991221904755,22.307547569274902,3600,3600,3600,3600,3600
10504.749883651733,0.6987495422363281,1283.1114597320557,127.01835370063782,1316.2263917922974,3600,11.239692687988281,3600,566.455236196518
9453.069073438644,0.678471565246582,337.61002111434937,68.1675033569336,1257.849347114563,3600,6.390569686889648,3600,582.3731606006622
6603.943928718567,0.6408267021179199,284.7713620662689,13.557020664215088,1208.3839321136475,3600,9.633775472640991,971.246438741684,515.7105729579926
18593.498995304108,0.5930085182189941,580.0764992237091,12.829487562179565,3600,3600,3600,3600,3600
9520.006999492645,0.6667454242706299,529.1770191192627,9.766191720962524,1176.334732055664,3600,7.968611478805542,3600,596.0936996936798
25200.594247579575,0.594247579574585,3600,3600,3600,3600,3600,3600,3600
9873.536999225616,0.6470251083374023,880.6123464107513,21.187045335769653,1157.8636617660522,3600,15.531096935272217,3600,597.6958236694336
28800,3600,3600,3600,3600,3600,3600,3600,3600
12677.336021661758,0.6842875480651855,251.593768119812,5.04494833946228,1606.1257300376892,3600,13.887287616729736,3600,3600
25203.95176243782,3.9517624378204346,3600,3600,3600,3600,3600,3600,3600
13036.918375968933,0.702223539352417,705.7921698093414,21.58565402030945,1494.1120131015778,3600,14.72631549835205,3600,3600
12765.161873102188,0.7024080753326416,419.1081032752991,24.60088014602661,1507.3226282596588,3600,13.427853345870972,3600,3600
12739.855159521103,0.6564903259277344,252.81728720664978,5.0408711433410645,1667.3804445266724,3600,13.960066318511963,3600,3600
7802.620838880539,0.678041934967041,747.5977272987366,7.240884065628052,1297.549571275711,3600,9.06379222869873,1549.366524219513,591.1242978572845
9999.103417158127,0.6975312232971191,890.0671207904816,10.112698554992676,1294.9371466636658,3600,9.41358757019043,3600,593.8753323554993
9596.86846613884,0.6793985366821289,508.71214056015015,5.199594736099243,1248.2852311134338,3600,11.731262445449829,3600,622.2608387470245
7167.524578332901,0.6575682163238525,179.04495120048523,7.907244682312012,1237.5842554569244,3600,10.816250085830688,1597.4836282730103,534.0306804180145
18141.90637922287,0.7204263210296631,56.04624581336975,85.13970708847046,3600,3600,3600,3600,3600
9543.073995113373,0.7484316825866699,386.21029114723206,5.583481550216675,1304.450668811798,3600,11.604630470275879,3600,634.4764914512634
7533.328576803207,0.7149102687835693,664.353554725647,10.290618181228638,1348.180418252945,3600,23.038014888763428,1327.3021941184998,559.4488663673401
9508.117906570435,0.7457940578460693,379.55990171432495,5.559210538864136,1283.7993352413177,3600,11.561156988143921,3600,626.8925080299377
11710.009322166443,3.4454660415649414,20.945091485977173,13.846749544143677,3600.0,3600.0,27.28673410415649,3600.0,844.4852809906006
