Score,26114429758a203d651f4df87c94de4c,4282ea42fd414bfd2c4bf81fe8a43e24,0c9da400944b002f90fd385d4fdab385,da43a3ef0ef5d34143e765d480dedc7a,74931e82fd208ed949fa44bccd80df6b,accf33a84bdf211bebbd2111fb7f6b91,9cd3acdb765c15163bc239ae3a57f880,5411047bc24f4321f0e490e01e4a0910,f18c7c7b8666458fd04ea7a253ae1e20,328da7966b09b2f6e99c93c4e877fbff,2b60f9be1439f63b7f174c6b8ca7fedf,63732c330adb8de8dd47ce1693b86d0e,8d2dfc50c1759dc11a6564d5c368c6df,2e808d215e4155379a847b146ef38b34,41f4cb4992a481c9d43e2e1a4e2349ac,ee57608ea4b74f25aebca809d59711c9,48539e7e4baae6db72cda7e8a9cecfa0,c7bf3517f47d583ae567de3db3708969,6543793076c30fc7cdfa5a3c819cedc7
40467.591839551926,20.786340475082397,32.071587562561035,33.30040168762207,35.068140506744385,72.13593006134033,86.18728017807007,274.8981990814209,313.1439599990845,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
64895.645376205444,95.64537620544434,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40601.77171278,7.539582014083862,27.362481832504272,26.96845245361328,25.735779285430908,63.52128577232361,56.99126696586609,69.2224349975586,724.4304294586182,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41415.71443629265,3600,44.203282594680786,23.608431577682495,27.481606245040894,26.40899682044983,26.96234107017517,159.7031605243683,3600,56.648796796798706,3600,3600,3600,1450.6978206634521,3600,3600,3600,3600,3600,3600
40096.65201854706,11.457865238189697,30.12407112121582,24.207153797149658,23.7515070438385,19.728366374969482,20.239776611328125,48.45209312438965,318.6911852359772,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65150.75623321533,350.75623321533203,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
44076.834260225296,15.341763257980347,26.32806372642517,37.21505641937256,44.19410157203674,61.20173954963684,59.26925754547119,3600,633.2842781543732,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
52844.012842178345,3600,475.74719285964966,395.91358065605164,3600,486.1896574497223,745.7565627098083,3600,3600,340.4058485031128,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37054.95218205452,2.1630289554595947,34.79610323905945,44.82602405548096,48.736042499542236,81.64750933647156,90.29969620704651,41.73879027366638,255.93240308761597,454.812584400177,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40704.24379301071,234.78429102897644,64.67293047904968,131.14324140548706,145.13894891738892,252.99571013450623,185.88334465026855,46.65888047218323,3600,42.96644592285156,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40050.63860249519,29.434180974960327,35.81903576850891,15.646286964416504,17.90382742881775,22.820740699768066,26.533071041107178,18.496687650680542,283.9847719669342,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
64825.162971019745,25.162971019744873,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
44737.68192195892,3600,57.87261605262756,31.092199325561523,45.10939359664917,31.33375644683838,42.60108828544617,214.21976017951965,1115.4531080722809,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
38270.52353835106,33.39216160774231,23.08204936981201,19.35504913330078,22.573097944259644,18.487485647201538,20.382643461227417,19.87698245048523,331.993266582489,3600,3600,3600,3600,3600,3600,1781.380802154541,3600,3600,3600,3600
37336.04849267006,19.985759258270264,26.401825189590454,18.563506364822388,19.753963708877563,22.99565291404724,19.949166536331177,38.41973853111267,289.83385491371155,3600,3600,3600,3600,3600,3600,880.1450252532959,3600,3600,3600,3600
40159.05768108368,21.806052446365356,26.667036056518555,17.430289268493652,21.724175214767456,17.290016174316406,22.093964338302612,25.188117265701294,406.85803031921387,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47218.33565926552,3600,51.51029443740845,25.126020908355713,26.012514114379883,32.2138454914093,32.427651166915894,251.04533314704895,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
42082.819152355194,3600,58.68956971168518,34.46018433570862,30.74827218055725,40.10001254081726,48.39416742324829,217.4364755153656,1740.0071024894714,3600,3600,3600,3600,3600,3600,312.98336815834045,3600,3600,3600,3600
37244.087446689606,26.07253098487854,31.14789652824402,19.117422342300415,24.90123724937439,23.654699563980103,25.529020071029663,23.185696363449097,289.0583872795105,3600,3600,3600,3600,3600,3600,781.420556306839,3600,3600,3600,3600
36543.80763101578,25.333729028701782,25.48498249053955,12.32620358467102,25.35003972053528,19.789196252822876,20.347156286239624,85.16532325744629,325.24157094955444,3600,3600,3600,3600,3600,3600,4.769429445266724,3600,3600,3600,3600
37738.04600954056,7.645525217056274,27.136380672454834,41.01210689544678,32.89928483963013,68.90647315979004,71.07683658599854,81.56314659118652,703.3664755821228,3600,3600,3600,3600,3600,3600,704.439779996872,3600,3600,3600,3600
37777.98934698105,7.689767837524414,24.753059148788452,31.143799543380737,41.92810130119324,60.701271295547485,71.86294293403625,82.4514389038086,760.4758129119873,3600,3600,3600,3600,3600,3600,696.9831531047821,3600,3600,3600,3600
40645.35091519356,5.917779445648193,28.03503942489624,30.741097927093506,34.14489555358887,60.06343078613281,72.8924880027771,38.46338200569153,775.0928020477295,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40262.19594717026,7.72686505317688,26.305408239364624,22.196788787841797,25.18759846687317,27.482329607009888,21.565836429595947,42.97770810127258,488.7534124851227,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40252.739768743515,43.4425003528595,25.93120241165161,36.74626660346985,38.11398267745972,61.79972767829895,79.33645558357239,61.77246141433716,305.59717202186584,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40379.27045583725,5.594788312911987,26.90338373184204,40.48793864250183,42.878199338912964,68.40494179725647,67.73943066596985,22.08003568649292,505.1817376613617,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31476.21586418152,9.668908596038818,34.0521183013916,19.073410749435425,21.299309968948364,29.932039260864258,33.49183893203735,83.7619400024414,114.43337607383728,3600,3600,3600,3600,3600,1656.090265750885,983.5739421844482,1771.4679117202759,3600,3600,1519.370802640915
38193.30454993248,19.98207378387451,41.0905704498291,36.652904748916626,43.47508096694946,67.96000957489014,88.8087637424469,1365.5164926052094,221.33296084403992,3600,3600,3600,3600,3600,3600,308.48569321632385,3600,3600,3600,3600
40210.237303972244,9.197090148925781,38.18444609642029,26.060380697250366,35.203598737716675,30.696799516677856,33.6647424697876,57.62721252441406,379.60303378105164,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47097.830696582794,7.927434682846069,40.016202211380005,37.27878713607788,63.643425703048706,72.40215611457825,76.56269073486328,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41285.37827086449,35.366116762161255,40.83652305603027,45.92055654525757,48.52322292327881,84.76159882545471,101.85269856452942,944.8056116104126,383.31194257736206,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43699.96608924866,21.430655241012573,29.375627994537354,31.707553148269653,42.54021120071411,58.745376110076904,67.38439559936523,3600,248.7822699546814,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
