Score,3ed56242f55e3653dbceeb4a70221787,e067414e153ee98a7842bd6d6dafeee5,5e5fe73a2e0ffc8e19873298566919fb,71a3dd6156463c0c55c4b38394faa753,e99e266b422513a2898c13898a1de501,c9f511adbb3d6e1b37b410f972f270c6,7429e380834066c206394139c9e1e17d,0bad2ce307bf5b68db26fa34e252c9d4,16c27d738cb45b766b8823ca4f428cf0,82d9e8d2cfea101dfe52c8359b7bb163,1a1c9d1dc1ae7fcff92e3c3499864b75,f16b7329ef5728f722c291156b3b098e,94571e8a1081385029d1ecd53ffcdf8e,170a7d847694ee4cfa5c421757672882,be18894105e006399cc018abc14b204f,695e287a447fcdd924985a6e73057a38,38833d6a1ff6a56ef22bd2dc1e3fdde7,1b0f4ff7984b8d4cf2873200fb1680fb,14ea5857d75ae2b235a3ba97373ea732
24197.05003976822,7.987414598464966,46.34079694747925,76.24366283416748,113.02558875083923,208.7554795742035,224.88238334655762,256.7212715148926,376.1667618751526,422.79585313796997,588.5951235294342,746.8438522815704,884.1779370307922,938.3701875209808,1306.143726825714,3600,3600,3600,3600,3600
66320.02641630173,3600,3600,3600,3600,3600,3600,3600,3600,1520.0264163017273,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
26944.252532720566,107.02760028839111,355.0710060596466,3600,182.63998413085938,198.90961360931396,262.6520519256592,73.72878050804138,19.583276748657227,3600,548.8003404140472,546.5844824314117,922.9948787689209,1033.4575958251953,978.0418848991394,114.76103711128235,3600,3600,3600,3600
60961.40619945526,3600,3600,3600,636.958443403244,1535.0499289035797,3600,1189.3978271484375,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
29768.58388519287,1334.6161742210388,431.91803193092346,3600,49.43427848815918,3600,223.33232426643372,272.9061553478241,1217.311818599701,3600,436.18003940582275,580.7944061756134,707.7681634426117,656.2072494029999,813.2435846328735,1567.9700372219086,3600,3600,1727.9014041423798,1749.0002179145813
66301.945748806,3600,3600,3600,3600,3600,3600,3600,3600,1501.9457488059998,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31997.160465955734,185.99775433540344,462.1612739562988,3600,987.3864917755127,872.7027289867401,562.0959439277649,473.07951498031616,735.0875811576843,3600,702.2805118560791,673.1244745254517,995.5797667503357,1497.910412788391,1198.3743348121643,1051.379676103592,3600,3600,3600,3600
60709.469279289246,3600,3600,3600,3600,311.3520073890686,1056.456344127655,3600,1741.660927772522,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
26130.997631072998,183.25678849220276,1236.7887167930603,274.2003507614136,287.2570595741272,213.31851434707642,463.6861126422882,1232.1985003948212,3600,111.35146260261536,485.32182145118713,642.5652680397034,1326.2352464199066,1390.3567430973053,1370.1847577095032,851.1851234436035,3600,3600,3600,1663.091165304184
57062.30969929695,569.8579728603363,3600,3600,3600,358.27129769325256,3600,552.3964285850525,1581.78400015831,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
28603.83444070816,625.1083402633667,19.729302406311035,3600,677.7280163764954,1679.0666136741638,217.1496696472168,415.7020604610443,3600,3600,431.48553586006165,580.6442375183105,582.4879114627838,622.4754693508148,744.3882932662964,1057.286715745926,3600,3600,1505.2626039981842,1445.319670677185
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
26537.42931175232,123.88042855262756,563.6732478141785,3600,118.52156472206116,39.58116269111633,203.71562671661377,119.779776096344,3600,3600,434.0923840999603,432.28178238868713,673.0995569229126,732.2024290561676,851.486643075943,1433.933242559433,3600,3600,1372.8119320869446,1438.3695349693298
27988.67640066147,210.4798607826233,306.28572845458984,1749.5111014842987,355.6960413455963,9.90827226638794,290.64515137672424,415.52331590652466,3600,3600,510.48487734794617,539.6372528076172,765.1745309829712,944.5761771202087,922.484935760498,1402.5605492591858,3600,3600,3600,1565.7086057662964
21129.66956591606,39.69026303291321,498.95649242401123,671.4077606201172,99.894766330719,23.398019313812256,276.2063567638397,127.29868054389954,1029.321985244751,944.781594991684,504.0741045475006,511.4808440208435,762.2586145401001,754.375538110733,900.0795085430145,3600,3600,3600,1512.1406733989716,1674.304363489151
