Score,82fe0a5b2467d6e5299c315da8b16ec5,c9f7ca549a6773bea4628e2c66f597c6,8ade10da9731ce31d103c1687ff40a3d,fab0db1ab0dd5baa3215aab51ab69355,c115ebeec47bb82fa7f9850a632ec94a,41c39c9a2d75ca50b603ea7c3d86106a,18babbd2835b8a37c6299f8b0301c7c9,1d1af993697599892804df5878d58979,96e01064ac3b644143278c21859e201f,d8fa4265b93d0931ba6484e3cc0d7ab1,f08b3567642ea029452fff2c1d10c132,19c6a29181bee2f3aa03bfb5c5d693d0
10806.871051073074,0.5292870998382568,0.5568504333496094,0.5866568088531494,0.6062502861022949,0.6129882335662842,0.6242241859436035,0.6300272941589355,0.6489589214324951,2.075807809829712,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
9197.281547784805,55.35007953643799,189.17988395690918,0.7995781898498535,9.315697193145752,8.649277687072754,8.219667196273804,9.415978193283081,0.5475404262542725,6.319819450378418,3600,1709.4840259552002,3600
14515.071632385254,0.48987674713134766,110.64429140090942,0.5435233116149902,0.8999114036560059,0.5063207149505615,0.6383202075958252,0.6789000034332275,0.6704885959625244,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
14400.991297721863,0.09497189521789551,0.13773870468139648,0.10385441780090332,0.10838103294372559,0.13022112846374512,0.1351184844970703,0.13065719604492188,0.15035486221313477,3600,3600,3600,3600
12064.823345422745,0.09733200073242188,0.09564089775085449,0.1082007884979248,0.11189007759094238,0.16799116134643555,0.13659310340881348,0.13403797149658203,0.14471745491027832,3600,3600,1263.8269419670105,3600
14403.789106607437,0.39595842361450195,0.2677168846130371,0.3075859546661377,0.2859623432159424,0.9509353637695312,0.5298292636871338,0.44325685501098633,0.6078615188598633,3600,3600,3600,3600
12641.18304681778,1701.7013475894928,3600,0.8156604766845703,455.5379955768585,31.42456293106079,565.0167589187622,196.6794948577881,2.8556692600250244,136.14319348335266,3600,632.3252220153809,1718.683141708374
10846.634597539902,0.08317399024963379,0.15163373947143555,0.09297442436218262,0.09373092651367188,0.11517477035522461,0.1027383804321289,0.10722494125366211,0.11322999000549316,45.7747163772583,3600,3600,3600
