Score,50019e4419d48196bb4b95933a8b5030,b8c7c777e76995e5bf7b517f2db234ba,0d81711a3d73c828e8c6e12607eda82d,de7a6b03999e2bc5bd750831c2662a4d,c73edc350cfa8e07af58db50054aea45,05c8e94aaee86390eaf6e68dd3ec3570,47e1ada0070708c2953d322c06aea00d,52aaf653a79ca14fa1127cda32aa94ce,0a27eb7c16c1e69ff4d087d217ac89cb,994783ef4ed3a0366842e1b6f9128a6f,634a271f5fe339007a186539d615e92f
10272.309297561646,3600,106.67167973518372,128.57391786575317,64.8526086807251,1363.9276928901672,886.1166892051697,633.3130385875702,341.94519901275635,1032.7313828468323,475.0086877346039,1639.168401002884
22285.366379976273,744.0105726718903,1717.3575248718262,117.8363745212555,3600,3600,172.93596696853638,1142.7651407718658,3600,3600,3600,390.46080017089844
11231.598222255707,60.58295702934265,63.232824087142944,74.01120328903198,138.50787472724915,273.87843346595764,625.013974905014,1567.3663744926453,189.69844841957092,3600,3600,1039.3061318397522
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
13618.768164634705,70.28060913085938,119.34432053565979,118.04930114746094,17.45992136001587,362.58034348487854,3600,514.2766215801239,71.56430506706238,1545.2127423286438,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
6318.160890817642,10.401669263839722,93.5864827632904,122.80455303192139,96.78783702850342,177.92834281921387,1340.7084393501282,1448.4792392253876,544.1825799942017,253.53394103050232,1388.811823129654,840.9359831809998
8535.591813325882,34.80109930038452,35.307305335998535,187.6808729171753,94.62827515602112,187.049644947052,841.8415358066559,3600,719.0737109184265,480.09475684165955,766.3417546749115,1588.772857427597
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
9494.485515117645,127.71875166893005,55.21386480331421,57.81227970123291,689.2510895729065,721.8582701683044,497.0446033477783,1166.933212518692,626.70947265625,3600,372.2219443321228,1579.722026348114
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
8247.556812047958,56.02762198448181,109.46180820465088,117.67681384086609,277.7927324771881,391.4613971710205,3600,280.53701186180115,102.88112878799438,366.0352535247803,1448.9657843112946,1496.7172598838806
18369.89148902893,116.27938079833984,63.9312903881073,103.22261667251587,413.7621510028839,3600,3600,3600,3600,729.0010702610016,1295.7988240718842,1247.896155834198
8115.632705688477,35.99060034751892,41.43132472038269,59.912256956100464,666.1826050281525,202.27352929115295,405.6873998641968,403.9155025482178,423.54986214637756,1271.929018497467,1004.7606062889099,3600
6556.044145584106,18.266919374465942,252.12176990509033,8.755058526992798,44.948028802871704,847.6822938919067,318.28574299812317,178.29290294647217,122.44838070869446,1002.3810727596283,3600,162.86197566986084
22035.315486192703,823.4796442985535,61.9427604675293,138.22627210617065,3600,252.140074968338,3600,1432.5234751701355,3600,3600,1327.0032591819763,3600
27451.152406454086,28.592711687088013,92.66277360916138,3600,773.8318140506744,3600,3600,1356.0651071071625,3600,3600,3600,3600
6628.3602702617645,118.81399607658386,93.27182531356812,38.256383180618286,209.66072130203247,368.5588312149048,248.56324315071106,531.0128948688507,122.4706621170044,615.8116219043732,681.9400911331177,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
6047.863083600998,70.86369180679321,47.289342641830444,117.19600415229797,125.28328657150269,257.8709111213684,169.05623650550842,384.752316236496,286.18693947792053,809.8327474594116,179.53160762786865,3600
27778.13242459297,1492.9658036231995,73.76908111572266,944.2494878768921,3600,3600,3600,67.14805197715759,3600,3600,3600,3600
3873.7515740394592,57.48962950706482,23.200395107269287,38.00047731399536,199.32974863052368,1106.5778596401215,655.3411393165588,381.01192450523376,407.5960853099823,253.20891571044922,268.67086696624756,483.32453203201294
5392.82647562027,77.4569628238678,120.38619089126588,134.70005464553833,211.06960773468015,472.4584515094757,592.2731862068176,209.2651560306549,101.11323952674866,1042.5975694656372,1774.7703602313995,656.735696554184
