Score,8e720686372c5037f30b4fc7b1c71d48,b4b41b2ff14427e5715cb9bee06d4602,fb0e505b8bd19a34f1f80b8e020e7856,f8443057c188f6c9cfb711ff3d4aa6ff,8530c911b75ab1b276042043d118a875,6add7e416c1126607afeb2666af330ac,fb51311320bb42bdb893249998a77f40,479b1413f8bd1d6fc0723856ffca9792,61069e0e3339af80000b774a041b7d96,761651d4b6454108403bdefe22720fb3
2584.677673101425,6.7448930740356445,71.11411499977112,73.36530780792236,84.33144307136536,106.33454489707947,145.32418131828308,198.55258750915527,572.578816652298,573.6162400245667,752.7155437469482
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2247.904982805252,8.18371868133545,70.82499861717224,81.66125011444092,88.13207125663757,165.9625768661499,139.6764895915985,253.98239755630493,473.2902913093567,445.9279136657715,520.2632751464844
27836.758026123047,47.74375629425049,3600,3600,3600,1231.7854540348053,1357.228815793991,3600,3600,3600,3600
6720.705098390579,3600,85.93446707725525,82.83639335632324,106.91323328018188,148.8339068889618,212.43010783195496,185.315979719162,678.788952589035,839.9400248527527,779.7120327949524
19509.186368465424,3600,659.703608751297,821.9319479465485,1614.6957409381866,625.1516752243042,641.9233872890472,745.78000831604,3600,3600,3600
2333.483589887619,518.4985959529877,52.62276601791382,72.59140205383301,73.45866870880127,130.7775890827179,140.09208297729492,220.279114484787,371.74332213401794,367.0737843513489,386.3462641239166
21273.819118499756,238.34862208366394,1329.346831560135,1350.6637976169586,900.0644583702087,3600,1259.000295162201,1796.3951137065887,3600,3600,3600
2502.687531232834,15.145969152450562,88.55032896995544,95.37804532051086,115.10823464393616,139.46650624275208,149.6323082447052,246.24391889572144,590.7274196147919,486.7874038219452,575.6473963260651
30534.76520204544,40.2396183013916,3600,3600,1694.525583744049,3600,3600,3600,3600,3600,3600
7255.302027463913,3600,101.30544543266296,95.39469599723816,130.13435006141663,147.64198756217957,173.43730092048645,200.29281306266785,992.2332346439362,604.2064352035522,1210.655764579773
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2613.4320147037506,24.271244525909424,72.69583892822266,92.21566367149353,115.38723826408386,141.59384512901306,154.83645057678223,197.05405640602112,679.2529518604279,353.7746684551239,782.350056886673
3436.2072710990906,10.20736312866211,128.57725930213928,58.542932987213135,118.80265212059021,145.65185642242432,276.68556928634644,432.1950857639313,403.7061960697174,431.5878643989563,1430.25049161911
2028.174423456192,9.775256872177124,58.84358549118042,65.51024961471558,70.65884566307068,150.89059495925903,173.90163564682007,216.66349005699158,430.9035427570343,346.8330738544464,504.1941485404968
