Score,1009c791cee542cdf19651fe25e6881a,e6cdc2687fa53506021f05b60ad0c6a2,f054205a7cef98e5021016f864c69816,a38affaa741c958fc32769d5fe89b06c,2d0c041c0fe72dc32527bfbf34f63e61,3bf8ba6bb4e4ea9ad08b1b058661ba2e,0876c518e5653369e20fb1ee0bb8db40,fee70cede2b5b55bfbdb6e48fbe7ce4f,f50eaf02a8041510b64104998cc81d2f,f32bb347996c351bc3e9a91c58e8601d,5690b9b0380aa9508699e56cae5918b5,abe802007c9aed4eab2e758fb130174b,c2bfe541b7cff948fa3193e9ca0eddee,91e0db01b254eb78f6643328045bfeb9,1ce81dbba1292bf791e194b17aa2a219,03a43a7ea55217f53542ed3f029963af,b3c587501567db72e6e66c6930cf15ed,b3f53d4c67b234d27e21f5e56bfd39e8
20533.93326830864,14.232149362564087,14.613483190536499,16.748377323150635,26.991183280944824,43.84941816329956,60.941262006759644,68.6635811328888,78.95269274711609,160.26082372665405,293.3887722492218,389.88320231437683,648.130612373352,717.2777104377747,3600,3600,3600,3600,3600
52319.889689445496,3600,502.4244604110718,3600,1273.0031921863556,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,109.62487244606018,34.83716440200806
15491.048621177673,28.056102991104126,29.665945768356323,63.813472747802734,27.966174602508545,11.85597825050354,16.32101273536682,569.9191687107086,274.43121242523193,55.666603088378906,699.3275997638702,773.8133561611176,1749.8104186058044,680.3806412220001,3600,1208.1657361984253,1590.0137474536896,3600,511.84145045280457
48853.80648255348,3600,76.89049220085144,3600,74.69882655143738,3600,3600,636.6686022281647,3600,3600,3600,3600,1151.6162161827087,113.93234539031982,3600,3600,3600,3600,3600
37467.154198646545,25.732260704040527,14.803975343704224,16.52582621574402,80.81750512123108,3600,22.53486132621765,26.750664472579956,3600,3600,3600,3600,527.2072460651398,752.7818593978882,3600,3600,3600,3600,3600
54271.40910625458,3600,3600,3600,253.7700126171112,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5.848418235778809,11.790675401687622
42284.63686752319,213.76175117492676,105.11104846000671,448.41766452789307,83.80192446708679,3600,68.62255620956421,565.7605261802673,3600,3600,3600,3600,3600,1199.1613965034485,3600,3600,3600,3600,3600
43239.64887189865,3600,58.56830668449402,3600,74.69271111488342,37.81342053413391,3600,144.59914922714233,3600,3600,3600,1201.2283375263214,415.47273683547974,1707.2742099761963,3600,3600,3600,3600,3600
24096.487506389618,54.19015836715698,15.785741329193115,13.682642936706543,64.1701545715332,3600,34.192193269729614,9.542201519012451,339.38373827934265,379.2784357070923,1086.4581680297852,3600,940.2447278499603,1314.0449566841125,3600,781.3556694984436,3600,3600,1064.1587183475494
43774.38447213173,3600,1760.2788729667664,3600,281.89002084732056,56.19444680213928,3600,291.9818811416626,3600,3600,552.6372318267822,520.5248281955719,710.8771903514862,3600,3600,3600,3600,3600,3600
32439.99688220024,83.75850057601929,4.360410690307617,36.08223795890808,26.969865798950195,3600,8.356684923171997,26.611279487609863,3600,1072.673968076706,1357.780480146408,3600,329.80460143089294,693.5988531112671,3600,3600,3600,3600,3600
51732.904176950455,3600,976.3250072002411,3600,301.9730567932129,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,16.976858377456665,37.62925457954407
31149.063502788544,87.60332417488098,53.25689697265625,35.961538791656494,85.83182263374329,3600,20.943526029586792,459.1843316555023,66.45672059059143,423.6461889743805,3600,3600,3600,706.9203057289124,3600,3600,3600,3600,409.2588472366333
31500.235277414322,116.09572315216064,63.753955364227295,97.04126238822937,35.101656436920166,3600,74.15790820121765,1251.9013316631317,83.24353218078613,401.7356507778168,3600,3600,3600,104.64093613624573,3600,3600,3600,3600,472.5633211135864
19530.390345096588,77.52974128723145,98.48467922210693,29.488839149475098,124.06629467010498,3600,37.60062217712402,502.3977060317993,49.601033210754395,265.947833776474,3600,3600,750.5322978496552,251.3407952785492,3600,393.9092218875885,1349.239010810852,825.2532169818878,374.99905276298523
35231.4956882,395.4947111606598,59.13785982131958,573.9229516983032,73.54126811027527,3600,452.2621645927429,1162.0769591331482,89.52059769630432,15.981866121292114,3600,3600,3600,9.557309865951538,3600,3600,3600,3600,3600
36897.473531484604,30.30228281021118,39.866329193115234,605.4923257827759,161.6413447856903,3600,74.86718487739563,1433.1351974010468,3600,3600,3600,3600,3600,3600,3600,1614.4150145053864,3600,223.3750557899475,314.37879633903503
47057.771127939224,532.0327594280243,60.670165061950684,1685.8579497337341,640.0148522853851,3600,133.44653940200806,805.748862028122,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25761.576585054398,428.87374901771545,419.6927812099457,490.8107500076294,36.94657230377197,3600,249.7497160434723,1084.8796937465668,102.76206517219543,13.396471500396729,3600,3600,1558.294756412506,497.6661260128021,3600,377.5669677257538,1351.9608280658722,3600,1148.9761078357697
41097.42796301842,308.79937648773193,67.88058996200562,137.9739100933075,32.161250829696655,3600,37.637874126434326,648.1269614696503,3600,3600,3600,3600,3600,264.84800004959106,3600,3600,3600,3600,3600
39923.279658317566,86.58709907531738,57.60144758224487,537.5942766666412,14.413938045501709,3600,3600,1166.1253402233124,3600,3600,3600,3600,3600,250.47061848640442,3600,1193.9691400527954,3600,3600,616.5177981853485
28743.801082134247,60.56798577308655,8.683005332946777,661.494503736496,14.85860538482666,3600,26.29287838935852,240.1396427154541,863.9213037490845,317.60432267189026,10.336779356002808,3600,1124.2619905471802,215.64006447792053,3600,3600,3600,3600,3600
