Score,04e219c640ed59dc68ea2d50493de5b5,c0293283432a9b15cd743702163f5184,897acc1858ce0887f286aba5c0d56d71,3728fe50d8038c639c2d9c84e04fe2b1,8fa526d20599ca8c3d613e9066d62e61,bd0b055b890a9ace598a0c4aba40de30,0ef0d91d378eab41ba6fb9dfc9b87fc8,6077d4e5f755124ddc84068d6ccb630f,8cfc8e99d31bcaf18ff3360b08c8521c
18453.660363197327,7.883043050765991,10.184454202651978,111.50908279418945,324.08378314971924,3600,3600,3600,3600,3600
32400,3600,3600,3600,3600,3600,3600,3600,3600,3600
15821.20469379425,53.817564487457275,10.888372421264648,3600,275.7892246246338,771.9855315685272,308.72400069236755,3600,3600,3600
32400,3600,3600,3600,3600,3600,3600,3600,3600,3600
29413.898802280426,3600,3600,3600,613.898802280426,3600,3600,3600,3600,3600
32400,3600,3600,3600,3600,3600,3600,3600,3600,3600
28868.783338069916,3600,3600,3600,68.78333806991577,3600,3600,3600,3600,3600
29302.38520669937,3600,3600,3600,502.38520669937134,3600,3600,3600,3600,3600
22967.363300800323,3600,3600,3600,326.4575755596161,401.0684287548065,639.8372964859009,3600,3600,3600
26291.19438457489,3600,18.712077617645264,3600,1072.4823069572449,3600,3600,3600,3600,3600
18364.361048698425,168.909832239151,2.515493869781494,83.57764148712158,109.35808110237122,3600,3600,3600,3600,3600
32400,3600,3600,3600,3600,3600,3600,3600,3600,3600
22845.95666742325,3600,3600,3600,244.88984990119934,458.1029124259949,542.9639050960541,3600,3600,3600
21119.489923000336,3600,3600,3600,574.3579852581024,794.2353627681732,350.95211815834045,3600,1399.9444568157196,3600
24522.07535147667,3600,3600,3600,255.42554807662964,1718.2884349822998,948.3613684177399,3600,3600,3600
23361.490731716156,3600,3600,3600,554.6815278530121,776.3687467575073,430.4404571056366,3600,3600,3600
24022.284154176712,3600,3600,3600,136.55788731575012,1576.1109840869904,709.6152827739716,3600,3600,3600
23289.478729248047,3600,3600,3600,408.8606503009796,796.6485691070557,483.9695098400116,3600,3600,3600
30490.240013360977,3600,3600,3600,1690.2400133609772,3600,3600,3600,3600,3600
23064.850081443787,3600,3600,3600,157.5645399093628,591.2475950717926,716.0379464626312,3600,3600,3600
16227.374001026154,97.43801927566528,5.181317090988159,41.88403391838074,249.56240940093994,3600,3600,3600,1433.3082213401794,3600
15036.934179544449,23.869589805603027,1.1621818542480469,3600,154.71326398849487,1501.1117341518402,1156.4267692565918,3600,1399.650640487671,3600
16216.117014884949,18.13974142074585,0.5799264907836914,3600,295.14989852905273,1221.3815722465515,280.86587619781494,3600,3600,3600
14485.884274721146,56.1481876373291,27.913607120513916,3600,308.1200633049011,1107.8920662403107,941.0344929695129,3600,1244.7758574485779,3600
28920.495628118515,3600,3600,3600,120.49562811851501,3600,3600,3600,3600,3600
