Score,20cae5fe475d571da703f89d5da4bb8f,79c109a8c1da53c6b636d3835f11a19d,a1276d5dcb822aa03806df58fa9ca1c8,06b138e8a6da806e88ac7da2919cef30,f55acea8f0d207becbbbd26a11d97841,2f219dfa21d996e1834aa247f934f304,dbe18c99e95ac42816b99b96d36a8732,3498eea73b78ddc444cbee48b121c541,792495b57d6145fd21d7076eab2ab06a,89120de895868a3fccd74f30f78a5448,46e119b7ff8d0781354bfe68139c99b5,9777418f75e1dfbd7d34e9b0ba4bf0b5,385a678ba820d79c6fb5f497adaf32ec,40ae60a61929b6bfa2ac99ab4b9a0f7e,a0c7aea176b5a2b65c27c8af7039326b,0d3e99a07b6a6b67ac59d706c0af9d68,b6c44ccb3174b7f0a69185b11de86cfa,a7bbcc6535cca5a37f015f29090e8797,6b2ccabf0304af478a558b8a333ced32
60367.14546871185,911.2563095092773,735.7810525894165,1120.1081066131592,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56917.00616145134,353.9797275066376,338.55057859420776,771.5157940387726,1452.9600613117218,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
48974.30870676041,254.56177234649658,174.19721126556396,297.72550344467163,526.4974856376648,3600,1563.1504487991333,3600,3600,1241.4791839122772,3600,3600,3600,3600,3600,3600,3600,1716.697101354599,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
49121.756237745285,227.67665934562683,122.94216275215149,364.0597982406616,638.7949011325836,3600,1711.811764240265,3600,3600,1221.6432275772095,3600,3600,3600,3600,3600,3600,3600,1634.827724456787,3600,3600
50080.56715607643,209.72426462173462,155.74419522285461,352.7920706272125,461.7509877681732,3600,1194.6567974090576,3600,3600,905.8988404273987,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47349.599194288254,135.1666133403778,92.88933873176575,181.63425755500793,410.0835151672363,3600,1179.9432575702667,3600,3600,696.5545933246613,3600,3600,3600,3600,3600,1453.327618598938,3600,3600,3600,3600
53176.87163949013,285.99441266059875,199.83599543571472,535.4047598838806,621.7590487003326,3600,3600,3600,3600,1133.8774228096008,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47676.12364816666,204.89814734458923,136.14675402641296,305.67645502090454,459.8681118488312,3600,1025.1325323581696,3600,3600,828.2881059646606,3600,3600,3600,3600,3600,3600,3600,1516.1135416030884,3600,3600
52103.206235170364,178.9528844356537,115.30716562271118,255.32837843894958,423.28571105003357,3600,3600,3600,3600,730.3320956230164,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53399.69342517853,285.02358889579773,178.006418466568,542.6035583019257,779.8720214366913,3600,3600,3600,3600,1214.1878380775452,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
63068.58082461357,1408.770123720169,459.8107008934021,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53493.65982341766,322.44344305992126,178.33608198165894,499.3769965171814,761.8289046287537,3600,3600,3600,3600,1331.6743972301483,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
45099.668061971664,191.64871883392334,90.95846390724182,250.18310070037842,247.33417177200317,3600,1058.730703830719,3600,3600,1048.685845375061,3600,3600,3600,3600,3600,1431.2225732803345,3600,1180.9044842720032,3600,3600
50142.62319660187,175.7883541584015,106.28124594688416,258.26842761039734,417.47200083732605,3600,1594.2498652935028,3600,3600,790.5633027553558,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31464.585826158524,93.81969976425172,63.36846685409546,114.32395100593568,228.93846678733823,1474.1729872226715,499.2302393913269,3600.0,3600.0,328.9295299053192,3600.0,1750.0583906173706,1489.6143007278442,919.8714241981506,3600.0,1420.1567678451538,877.5758807659149,604.5257210731506,3600.0,3600.0
