Score,d0364ea3e1680c6da7e982e6b0264af6,ae9522ea003ea9f75891b2d37a5e264b,af750c18578d52e60472315692ad83c0,f746dae2050dd4aa48bcd53e8bd897b4,39fba35826ce8c87cd8e8de1969b2dd2,01966a0fc52b2200a13f5f835275a919,6f4df706246d29bf38adadd274fadab3,2b3de92685792ae19e4549b5c4571e27,39277cab188349aee0f229cb7341b5c5
21605.954075574875,0.0678250789642334,0.16500282287597656,5.721247673034668,3600,3600,3600,3600,3600,3600
25200.06694483757,0.020708322525024414,0.046236515045166016,3600,3600,3600,3600,3600,3600,3600
14919.589049816132,0.015222787857055664,0.0252685546875,5.390875577926636,955.1609721183777,3600,3600,1691.2387955188751,1467.7579152584076,3600
21676.193378448486,0.01578354835510254,0.025762319564819336,76.1518325805664,3600,3600,3600,3600,3600,3600
16245.66509771347,0.015467643737792969,0.024837017059326172,4.131322622299194,3600,3600,3600,3600,812.3984954357147,1029.0949749946594
25200.040540218353,0.015370368957519531,0.025169849395751953,3600,3600,3600,3600,3600,3600,3600
21618.45178604126,0.016124725341796875,0.024344205856323242,18.411317110061646,3600,3600,3600,3600,3600,3600
21611.560254573822,0.014614343643188477,0.025396108627319336,11.520244121551514,3600,3600,3600,3600,3600,3600
14900.151615858078,0.014747381210327148,0.02443242073059082,4.797963619232178,3600,3600,3600,3600,203.4196228981018,291.8948495388031
21623.97174358368,0.07542777061462402,0.12311577796936035,23.773200035095215,3600,3600,3600,3600,3600,3600
23365.655554771423,3600,3600,5.8755481243133545,3600,3600,3600,3600,874.5440359115601,885.2359707355499
25200.03923726082,0.014059305191040039,0.025177955627441406,3600,3600,3600,3600,3600,3600,3600
21608.64064359665,0.016373634338378906,0.024688720703125,8.599581241607666,3600,3600,3600,3600,3600,3600
19666.770775794983,0.014669656753540039,0.0249178409576416,7.497343063354492,3600,3600,3600,3600,1659.2338452339172,3600
12979.153269290924,0.016011476516723633,0.02448248863220215,1.9237949848175049,42.16041684150696,3600,1416.086622953415,718.9419405460358,3600,3600
15171.151726722717,0.014415264129638672,0.026008129119873047,6.87687087059021,3600,3600,3600,3600,261.8485224246979,502.3859100341797
13624.093536138535,0.014069318771362305,0.025246381759643555,9.271796226501465,1332.9889023303986,3600,3600,970.659214258194,511.13430762290955,3600
11891.057859420776,0.012552022933959961,0.02801656723022461,6.0983288288116455,135.79541325569153,3600,3600,3600,373.25072860717773,575.8728201389313
15125.937795877457,0.015026569366455078,0.02547740936279297,6.619799852371216,3600,3600,3600,3600,306.99960494041443,412.2778871059418
13150.654061555862,0.01656365394592285,0.0251619815826416,3.959512948989868,449.62270498275757,3600,3600,1116.5851249694824,780.444993019104,3600
12198.36979007721,0.015460491180419922,0.023951292037963867,5.2182440757751465,632.3404812812805,3600,3600,3600,381.38902521133423,379.3826277256012
18475.415684461594,0.014713525772094727,0.026506423950195312,3.376749038696289,471.99771547317505,3600,3600,3600,3600,3600
25200.040171146393,0.015089988708496094,0.025081157684326172,3600,3600,3600,3600,3600,3600,3600
18600.446251630783,0.01636958122253418,0.02569103240966797,367.3721852302551,3600,3600,3600,3600,233.03200578689575,3600
25200.042142868042,0.016667842864990234,0.025475025177001953,3600,3600,3600,3600,3600,3600,3600
25200.042936325073,0.018961429595947266,0.023974895477294922,3600,3600,3600,3600,3600,3600,3600
16290.426087141037,3600,3600,7.16030478477478,179.9644651412964,3600,3600,1291.4783148765564,141.72295784950256,270.10004448890686
23616.467445373535,3600,3600,25.89760971069336,3600,3600,1452.1927177906036,538.3771178722382,3600,3600
16122.964354991913,0.015970706939697266,0.024907827377319336,9.125094652175903,3600,3600,3600,3600,1079.0565435886383,634.7418382167816
10506.744358778,0.016106367111206055,0.025937318801879883,4.672608852386475,967.0097846984863,3600,3600,1065.4919879436493,414.6152346134186,854.9126989841461
18471.68907213211,1570.6542117595673,597.9291517734528,4.701845645904541,3600,3600,3600,1330.1001000404358,568.3037629127502,3600
16416.57685661316,0.014140844345092773,0.0241391658782959,3.3519339561462402,3600,3600,3600,1382.2437629699707,630.9428796768188,3600
19442.619205474854,3600,3600,5.336675405502319,1283.9642810821533,3600,3600,1639.4354927539825,529.2721548080444,1584.610601425171
18069.544300079346,3600,3600,3.7147271633148193,893.3854875564575,3600,3600,1773.2348618507385,529.7921369075775,469.4170866012573
16420.807770490646,0.013450860977172852,0.024944067001342773,3.3189759254455566,3600,3600,3600,1386.3211421966553,631.129257440567,3600
17950.091471910477,3600,903.4825479984283,3.5813188552856445,3600,3600,3600,1064.1032674312592,398.4397418498993,1180.4845957756042
25200.044076681137,0.018301010131835938,0.025775671005249023,3600,3600,3600,3600,3600,3600,3600
16019.594875574112,0.015553712844848633,0.02537989616394043,3.918759822845459,294.05623626708984,3600,3600,1321.5789458751678,3600,3600
25200.04142475128,0.016361474990844727,0.025063276290893555,3600,3600,3600,3600,3600,3600,3600
9893.767319202423,0.013083219528198242,0.024837493896484375,5.002220392227173,316.2753186225891,3600,3600,1018.5310122966766,307.08610796928406,1046.8347392082214
