Score,72c0d81e16d91bcaed808efcde2e5069,eed5189b73738270ae3fdb8b33bf31c8,d40a68825bdbcdd7642b249325a7b6a2,461df1a7056560279d532bc2743022b6,77b7f7bbf75faaee28f473b9941de103,12b4a08e412a3bffb513ca65639c7c69,773f3bd29e202ff700d8b5b459857a2c,30f0db845937bbda3ffde60e5ed4cb3f,ef16970ab9da31165d3c401ff9b29168,b3167d999edd81291f33636464f2f8e6,e7248b57a310ad461924eb17956cdf3a
3878.814296245575,68.198251247406,124.50048971176147,121.78662419319153,124.41859412193298,123.75682759284973,67.50246286392212,67.49286842346191,573.279061794281,784.697329044342,766.0501279830933,1057.1316592693329
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
1468.94890666008,29.510265588760376,46.95493221282959,75.40099549293518,187.20956873893738,104.69741821289062,100.99021339416504,98.58122491836548,205.4526288509369,189.03261399269104,102.81751990318298,328.3015253543854
1719.959138393402,50.97590112686157,50.215970039367676,53.94012999534607,258.7953350543976,51.94377136230469,107.93501901626587,245.63688254356384,189.3388192653656,104.11921572685242,414.0522036552429,193.00589060783386
2127.5695893764496,18.37379479408264,112.79287719726562,112.69510674476624,105.6873619556427,110.53957796096802,51.770134925842285,110.85142683982849,111.5084662437439,341.3685281276703,331.65784740448,720.3244671821594
1836.3949506282806,68.08189749717712,102.9124858379364,45.451823234558105,181.12431597709656,99.97369933128357,97.56928205490112,97.65556311607361,101.61547112464905,377.82508182525635,479.52575516700745,184.6595754623413
2620.838785171509,43.07968783378601,65.2015175819397,67.12893342971802,179.75418186187744,188.75784420967102,63.43142914772034,43.353679180145264,183.1448268890381,187.67883157730103,1309.0638790130615,290.24397444725037
2119.5798239707947,18.3513662815094,111.86038875579834,113.09286737442017,105.6026623249054,108.75164937973022,52.117515087127686,110.7355432510376,111.93355917930603,342.7883110046387,329.2284789085388,715.1174824237823
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
