Score,945d67baeb7860df648ab6ef4782d5ed,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,bd19da88800086971e554e9d66bc641d,05ed64e4e6229f446082752936768489,2eb039a5aa6bfb6e41d3afd41071ca55,a58b8a5eb61d3110d9fa36a03de588d2,5cb1ca8fe8a9d9125ea9accd498445f1,db4a0d4ba26c46d66ad6cdcb0645a4d9,7b9d8b9b31b530effd634f5a8f1f4411,e84b00b1f134e0e071a2baf54cfc90e8,55199d55fa9c3751a525d6c0a0e649bd,7b4622a3ab523264378a560199de47ed,67b4844c4bfbaf961cbbd79b953aa5c2,aa4a861240c0c39b5aa44602133ae5e1,4d7f6efbae05b66ffbbd509a430d57f8,40737c2f46512069d54b0d2bb3b47a20,9c7043290cee8127c3626d8067759267,8b31606e10656ff7eb2936262b647443,ea827f81bd0e9735739adc0d9da1b446,f15ad4206d95a3f8f1358b33301539be,ae7e391be73431e5dddf2bbafe95758a,1f6cf91464c6a19022144774b162a3cc,d7f2e4ec8e631387c928c79e1054c663,953e9ff735bdf5ada27b0ab2b908b6af,d3daba681653ea969bedf0c4a2fdb947,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,2a4680a801ad32ab8768030250daf0c8,8db36208fc6ce43b4002cf048c549b3f,b86f2425cafeb1239d65bd529e372e02,d5f6b2092795aad67d1df1fd3a329552
46945.762174367905,656.5659501552582,152.5086009502411,162.37192559242249,196.4997661113739,209.81235766410828,471.10335659980774,215.79875588417053,549.2322728633881,275.2500193119049,483.93869733810425,564.2985191345215,326.57946395874023,504.0075867176056,422.8594193458557,724.3817312717438,651.4683108329773,1194.0554864406586,627.8239209651947,1332.9432663917542,3600,3600,1117.341896533966,1141.2256994247437,1603.606362581253,3600,962.088808298111,3600,3600,3600,3600,3600,3600
112482.62840723991,3600,3600,3600,3600,3600,882.6284072399139,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27958.982278823853,1385.8678975105286,183.9342339038849,171.38647317886353,178.63685703277588,217.19604778289795,155.54925656318665,277.90629291534424,261.187947511673,255.13419485092163,186.1789424419403,242.44443607330322,544.4411330223083,209.60013723373413,618.7476010322571,383.8806207180023,507.38046193122864,251.77147841453552,426.05927419662476,193.45027041435242,530.0922160148621,425.21180486679077,423.5268018245697,509.14499044418335,990.5884199142456,643.5865621566772,385.5419919490814,3600,1645.4051876068115,3600,3600,3600,1355.1307473182678
43764.63478446007,1181.887119293213,501.87660455703735,360.0548117160797,517.080751657486,618.0145645141602,310.1693994998932,761.0691514015198,632.5344355106354,705.4065062999725,495.23026728630066,337.657639503479,895.6346387863159,356.73558139801025,593.6657135486603,899.041895866394,1046.8111500740051,489.3492031097412,1272.1279587745667,187.51052331924438,1548.7248182296753,954.9466483592987,939.1422743797302,936.1084620952606,3600,1442.6296241283417,581.2250411510468,3600,3600,3600,3600,3600,3600
21520.190296649933,1138.7863862514496,127.07249450683594,133.560284614563,148.75230050086975,109.60801649093628,43.40839719772339,102.21162986755371,153.68626880645752,171.07863998413086,139.1732156276703,67.91280031204224,349.9521017074585,72.63371634483337,443.39840841293335,265.28021264076233,258.0213062763214,79.71888613700867,342.0008556842804,53.87986946105957,125.04912805557251,133.64250016212463,227.99158477783203,100.98846411705017,528.865071773529,406.8032112121582,115.95027995109558,3600,946.8345470428467,3600,3600,3600,333.92971873283386
40766.676352739334,46.769142389297485,158.5029592514038,175.61032104492188,167.9849829673767,202.25373315811157,292.12125158309937,175.48288750648499,219.7979817390442,230.8129322528839,210.39019966125488,332.5031044483185,482.67844414711,226.94392371177673,716.0258867740631,495.37945914268494,493.7846415042877,344.53442668914795,791.1260230541229,217.65609693527222,3600,867.7562601566315,379.3542637825012,3600,3600,671.0064077377319,468.20102310180664,3600,3600,3600,3600,3600,3600
26922.23592209816,314.19412660598755,189.09873175621033,182.7098126411438,192.5707700252533,182.9590847492218,171.7601203918457,206.33396291732788,255.7363634109497,327.25247406959534,244.17057156562805,217.36212515830994,505.23113465309143,233.96659684181213,632.5019347667694,471.4337501525879,396.14537477493286,253.19187569618225,534.5825295448303,190.73716759681702,569.5320265293121,539.4207682609558,462.26839804649353,469.44719338417053,969.9016168117523,614.1111328601837,364.2521495819092,3600,1513.0162324905396,3600,3600,3600,1318.3478968143463
34707.467247486115,206.8027904033661,158.19015312194824,180.39071011543274,176.733469247818,139.4137737751007,839.4817862510681,220.52331376075745,291.4069881439209,264.1050834655762,214.61514377593994,274.87090849876404,325.6423201560974,266.0044424533844,418.4706771373749,547.8851227760315,465.4326493740082,383.34687995910645,463.5147099494934,276.18978810310364,1097.5421726703644,1175.9769310951233,396.0385055541992,3600,1431.9160709381104,724.6102015972137,416.93206691741943,3600,1751.4305882453918,3600,3600,3600,3600
43682.87609028816,3600,297.0282678604126,260.71200919151306,319.52437233924866,491.83264231681824,361.02460193634033,492.9675130844116,369.44358491897583,458.27854800224304,337.6891887187958,406.2453076839447,1105.8121616840363,525.3397624492645,790.646290063858,842.0622055530548,800.0849018096924,439.52085971832275,852.3336153030396,309.8649752140045,1165.7903971672058,908.4471507072449,740.9549388885498,941.2382309436798,3600,999.3635010719299,666.6710636615753,3600,3600,3600,3600,3600,3600
28756.03915452957,1130.7343955039978,281.0100407600403,335.6323199272156,378.74037981033325,241.13007760047913,120.5216658115387,245.56383204460144,427.02182507514954,331.71402978897095,306.61713433265686,190.96695184707642,490.69012093544006,190.3622443675995,881.0969395637512,554.799971818924,617.0273644924164,180.96463775634766,577.1077039241791,4.601968288421631,258.78082942962646,349.17271852493286,735.0298047065735,242.01520657539368,1151.3197703361511,1229.040366411209,288.9825224876404,3600,1587.7012870311737,3600,3600,3600,1027.6930453777313
