Score,70ef2b6bdc4101a0e35cf3d165571fe3,28e45a3e488ddac73b6116cc6f3e67e0,0e5ffe8651c6d9c3cccc3f6cb72be39a,88d151d4e3c6ba9bd78454de141cd108,a931fb0e1490883ee7719eab96ed558a,3b59c5d9b6729f39c8483446701f4ed0,ad69e0a0880cd377e26260f7e4bc6d51,1165e12b6addad01b491c4616306186c,8cf6b81061285343c4f33c51afdb3fbb,543e67dd5abc272c37775b1b742a1d9a,4106867bc76b8794330a205cf8a303ad,096e485489025895cdc59887baafa08b
20933.096129655838,2.903960704803467,13.455357789993286,311.81189608573914,327.7262964248657,481.5843188762665,617.6317267417908,1177.9825730323792,3600,3600,3600,3600,3600
39616.01026391983,3600,16.010263919830322,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
19256.405997991562,6.841098785400391,3.59623384475708,540.4495460987091,643.315426826477,1368.2649364471436,961.9834287166595,1238.4642157554626,3600,3600,93.49111151695251,3600,3600
39640.44535923004,3600,40.445359230041504,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
18761.77373957634,26.06880474090576,4.02869176864624,502.9215500354767,680.1351120471954,1358.990454673767,785.1018242835999,910.8399782180786,3600,3600,93.68732380867004,3600,3600
39603.761269807816,3600,3.7612698078155518,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27455.661103010178,3600,3.8000168800354004,1120.3680922985077,867.2971415519714,1095.285145521164,1679.9325196743011,1088.978187084198,3600,3600,3600,3600,3600
39603.627975702286,3600,3.6279757022857666,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
19097.28824877739,15.580057382583618,14.896775007247925,936.1270172595978,457.0763339996338,731.8290638923645,953.2802627086639,1136.8136115074158,3600,451.6851270198822,3600,3600,3600
39603.48195362091,3600,3.4819536209106445,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25542.752755880356,3600,92.78320407867432,421.9962465763092,922.2229754924774,918.8715851306915,780.62229347229,806.2564511299133,3600,3600,3600,3600,3600
39603.74581360817,3600,3.7458136081695557,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25098.65122818947,2.4747555255889893,3.8841235637664795,479.9859972000122,1396.1753842830658,1537.4986779689789,3600,3600,3600,3600,78.63228964805603,3600,3600
19695.257009267807,43.17265486717224,49.60760712623596,488.54977011680603,645.1866962909698,1028.5997822284698,1046.3866789340973,1712.892671585083,3600,3600,280.8611481189728,3600,3600
17891.489963293076,13.328567028045654,49.410645723342896,332.25394082069397,671.7003297805786,794.8014776706696,813.5364007949829,775.3478310108185,3600,3600,41.11077046394348,3600,3600
28780.011294603348,225.48254823684692,26.496192455291748,831.6338024139404,1413.0276432037354,3600,3600,3600,3600,1083.3711082935333,3600,3600,3600
18325.873192548752,27.738911628723145,49.50940942764282,447.805695772171,460.6530828475952,575.5925168991089,1116.0773169994354,3600,3600,259.4716897010803,3600,989.024569272995,3600
20743.49296617508,5.78787899017334,4.184261083602905,341.8923568725586,577.7426116466522,578.2196245193481,1181.0588114261627,3600,3600,3600,54.60742163658142,3600,3600
20606.45115494728,18.471740007400513,3.4756598472595215,318.23845767974854,588.5694787502289,564.8335239887238,854.1966049671173,3600,3600,258.66568970680237,3600,3600,3600
19476.731934785843,236.98908281326294,51.22897458076477,522.8929114341736,635.6440315246582,972.2640354633331,1077.9095222949982,3600,3600,140.35779190063477,3600,1439.4455847740173,3600
18383.073570013046,16.028650522232056,49.62425637245178,387.9525372982025,557.8288908004761,849.3325312137604,1165.081660270691,864.9824883937836,3600,3600,92.24255514144897,3600,3600
15644.68104338646,17.91301202774048,37.18117690086365,798.5293064117432,550.1900906562805,461.9509747028351,629.7662642002106,980.6224946975708,3600,1198.535897731781,169.99182605743408,3600,3600
17845.138872385025,2.1982262134552,39.088924407958984,487.86603474617004,441.0366690158844,780.2449164390564,811.0266246795654,814.9722812175751,3600,3600,68.7051956653595,3600,3600
19437.83468389511,26.675787448883057,50.133333921432495,465.1585547924042,558.0703861713409,989.8223984241486,1288.9270153045654,1528.828454732895,3600,3600,130.21875309944153,3600,3600
19209.69486308098,8.15294361114502,48.11725854873657,1672.6016969680786,417.14502453804016,554.9404606819153,1049.0626652240753,643.6886637210846,3600,3600,415.98614978790283,3600,3600
16937.216528892517,26.254305839538574,50.01889085769653,584.309442281723,651.6322021484375,570.5769560337067,931.3971147537231,1076.9651181697845,3600,1695.071845293045,550.9906535148621,3600,3600
23173.523599147797,87.49609136581421,3.472883939743042,745.8593716621399,907.6404597759247,920.9969305992126,1757.7735497951508,3600,3600,750.2843120098114,3600,3600,3600
26923.485255479813,3600,3.8376102447509766,256.662620306015,306.9173243045807,501.85431480407715,654.2133858203888,3600,3600,3600,3600,3600,3600
25252.699026823044,70.93379259109497,3.791632652282715,1169.2110188007355,615.5665667057037,724.1144208908081,1069.0815951824188,3600,3600,3600,3600,3600,3600
27651.726608514786,3600,3.797891139984131,542.3462481498718,534.8295028209686,659.7257635593414,711.0272028446198,3600,3600,3600,3600,3600,3600
18989.51410961151,14.434834003448486,40.94234895706177,529.7510967254639,478.579558134079,433.1941556930542,643.4350163936615,3600,3600,3600,1098.4746675491333,1350.7024321556091,3600
25347.978617429733,3600,39.71358060836792,825.0278179645538,413.4603867530823,728.3116986751556,569.3492364883423,1172.1158969402313,3600,3600,3600,3600,3600
18412.12641596794,2.199913501739502,74.412180185318,1157.3736288547516,337.8495063781738,344.4713568687439,582.3771970272064,3600,3600,1450.3321115970612,63.1105215549469,3600,3600
27781.788904428482,3600,3.8171606063842773,623.6799402236938,565.9543614387512,640.1010789871216,748.2363631725311,3600,3600,3600,3600,3600,3600
19007.190159082413,0.8552515506744385,73.96376705169678,1672.1315701007843,433.08369493484497,404.72325134277344,920.9915812015533,3600,3600,1073.3590440750122,28.081998825073242,3600,3600
17977.39794921875,50.29272747039795,3.663429021835327,432.72076439857483,283.397332906723,298.75402307510376,499.10938453674316,3600,3600,447.9111704826355,1561.5491173267365,3600,3600
39603.770835638046,3600,3.7708356380462646,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
19784.900564193726,3.2371344566345215,4.099745988845825,250.2582721710205,312.248920917511,485.19078373908997,717.6295518875122,3600,3600,3600,12.236155033111572,3600,3600
36455.04666018486,3600,4.01574444770813,3600,3600,3600,3600,3600,3600,451.0309157371521,3600,3600,3600
23394.551315784454,223.08961963653564,3.780797004699707,316.66219091415405,367.77925515174866,3600,698.3443491458893,3600,3600,184.895103931427,3600,3600,3600
17803.77464079857,66.46252536773682,4.027130842208862,587.335521697998,269.1303880214691,526.6979355812073,369.88348388671875,1497.0387380123138,3600,3600,83.19891738891602,3600,3600
17853.934779167175,0.673856258392334,5.072618722915649,490.29933857917786,374.6870150566101,536.1606423854828,820.5266633033752,1203.155329465866,3600,3600,23.359315395355225,3600,3600
17732.309569835663,0.6953356266021729,3.8115530014038086,308.3526635169983,386.74593114852905,847.952615737915,603.8303918838501,1050.4639310836792,3600,3600,130.45714783668518,3600,3600
21142.30711913109,14.804607391357422,3.7040867805480957,445.37442564964294,336.5090253353119,652.8552136421204,801.6387827396393,887.4209775924683,3600,3600,3600,3600,3600
15096.369492769241,12.00256896018982,40.23303771018982,407.34825134277344,560.6170787811279,601.0638692378998,593.7000968456268,562.1392304897308,3600,1302.6700232028961,216.59533619880676,3600,3600
18411.164427280426,6.590123891830444,49.267762899398804,785.0837967395782,282.15307116508484,586.8343613147736,950.6837315559387,981.8119015693665,3600,3600,368.73967814445496,3600,3600
27703.97447514534,35.5321741104126,4.166054010391235,889.3650100231171,1296.4914860725403,3600,3600,3600,3600,3600,278.4197509288788,3600,3600
18332.083786725998,3.290863275527954,51.85940170288086,515.1548314094543,376.0312249660492,651.8494362831116,619.6372828483582,1592.682895898819,3600,3600,121.57785034179688,3600,3600
18323.386966466904,4.222865104675293,57.14971351623535,490.88071727752686,423.94877219200134,706.4960570335388,893.1074402332306,1153.610520362854,3600,3600,193.97088074684143,3600,3600
16410.953406572342,1.269747018814087,56.73103451728821,348.84854888916016,508.36920857429504,850.6406388282776,619.8302438259125,858.9016180038452,3600,1597.9017968177795,768.4605700969696,3600,3600
14744.450082063675,19.283503770828247,64.59985399246216,389.3307263851166,476.5649197101593,637.9261083602905,694.705813407898,1182.5222115516665,3600.0,407.9796929359436,71.5372519493103,3600.0,3600.0
