Score,9dcbf221b8d2bb01f30bcca283f3608d,2a53e9c6a25a50d753a94ead66065826,ef330d1b144055436a2d576601191ea5,0fa9521ff633b27be11525a7b0f7d8b6,cb2e8b7fada420c5046f587ea754d052,cbd0933002d6c4ea99ceb47bb0c3f4c9,d6402b482a5dc102a5b09360689e2be8,02c6fe8483e4f4474b7ac9731772535d,29ab150158d641568f888e8401d2ac13,a64f3c1afd7e0f6165efbe9fc2fc8003,2d6d26e1c5b4f2763c03697a6d00d3cf,dc7817dfa2817916b266c1cfacd2ee66,45a09efb026036ff4b8d19024a7563a9,4517202fdd0ccc8a97d83684b021ea96,4e366e723d75fe39bf6db9a24ffb059b,a5fc113e7d4899f4e4af14b87b6fd6ae
24635.127100467682,15.021817445755005,60.99742531776428,1.3446402549743652,420.29657649993896,15.230077266693115,696.1651701927185,192.95540833473206,320.1381711959839,982.9623312950134,3600,3600,330.0154826641083,3600,3600,3600,3600
24367.053015232086,15.553462743759155,58.16068434715271,1.2828989028930664,325.5907771587372,15.554427146911621,353.612859249115,247.8459289073944,454.27412366867065,981.028400182724,3600,3600,314.1494529247284,3600,3600,3600,3600
26083.840339183807,43.44475769996643,57.116453647613525,1.432021141052246,672.9352362155914,14.02015733718872,3600,144.9604012966156,344.96236538887024,1072.2738299369812,3600,1705.7885842323303,426.90653228759766,3600,3600,3600,3600
27705.602477312088,46.847742557525635,52.495139837265015,4.09645414352417,27.297070264816284,8.748980522155762,155.56948900222778,646.7190520763397,870.1889476776123,693.6396012306213,3600,3600,3600,3600,3600,3600,3600
26551.209061145782,21.274279356002808,65.37942552566528,3.748192071914673,145.51921939849854,15.025166988372803,481.58888387680054,150.41848635673523,31.22648549079895,437.02892208099365,3600,3600,3600,3600,3600,3600,3600
34097.11206173897,129.34706377983093,31.70853900909424,12.33455753326416,22.867528438568115,9.234894275665283,3600,329.51925253868103,3600,1162.1002261638641,3600,3600,3600,3600,3600,3600,3600
28445.88814854622,3600,71.63190078735352,1.0639805793762207,1366.751715183258,1149.8895046710968,3600,322.86580896377563,610.0900526046753,255.1941797733307,3600,1559.8857107162476,384.7089087963104,3600,3600,3600,1123.8063864707947
26266.768702030182,3600,74.14052367210388,1.0239229202270508,1211.626888036728,23.24230456352234,3600,289.48145604133606,35.35321760177612,327.1664698123932,3600,996.1261675357819,330.29295229911804,3600,3600,3600,1378.3147995471954
22926.009088993073,33.564337968826294,38.774362564086914,9.253780841827393,74.3755316734314,12.166059017181396,429.48279786109924,178.6810429096222,37.25724005699158,371.14865803718567,3600,3600,3600,141.30527806282043,3600,3600,3600
20866.11468720436,47.57580089569092,59.76620626449585,2.4936044216156006,10.550861120224,16.637506246566772,334.92838406562805,142.78954815864563,19.49494290351868,413.68620705604553,3600.0,1636.508223772049,181.68340229988095,3600.0,3600.0,3600.0,3600.0
