Score,9dcbf221b8d2bb01f30bcca283f3608d,2a53e9c6a25a50d753a94ead66065826,ef330d1b144055436a2d576601191ea5,0fa9521ff633b27be11525a7b0f7d8b6,cb2e8b7fada420c5046f587ea754d052,cbd0933002d6c4ea99ceb47bb0c3f4c9,d6402b482a5dc102a5b09360689e2be8,02c6fe8483e4f4474b7ac9731772535d,29ab150158d641568f888e8401d2ac13,a64f3c1afd7e0f6165efbe9fc2fc8003,2d6d26e1c5b4f2763c03697a6d00d3cf,dc7817dfa2817916b266c1cfacd2ee66,45a09efb026036ff4b8d19024a7563a9,4517202fdd0ccc8a97d83684b021ea96,4e366e723d75fe39bf6db9a24ffb059b,a5fc113e7d4899f4e4af14b87b6fd6ae
27575.267276525497,19.92437982559204,46.413520097732544,56.319979190826416,110.91133761405945,339.3508069515228,367.45188999176025,374.1158323287964,512.5723750591278,548.2071554660797,3600,3600,3600,3600,3600,3600,3600
48312.2820789814,3600,3600,0.0350499153137207,3600,777.2265801429749,3600,3600,735.020448923111,3600,3600,3600,3600,3600,3600,3600,3600
26819.393919229507,10.79472017288208,47.29908013343811,1.831547737121582,74.55280303955078,1504.0729596614838,23.892935037612915,63.86184811592102,3600,1057.3760187625885,3600,3600,783.1016345024109,3600,3600,3600,1652.6103720664978
47365.26971435547,3600,373.9552664756775,77.20157742500305,3600,3600,3600,3600,114.11287045478821,3600,3600,3600,3600,3600,3600,3600,3600
27766.2711353302,549.5385415554047,31.719717025756836,515.2003562450409,127.79170632362366,9.944629430770874,158.9875419139862,214.25023126602173,36.40790510177612,922.4305064678192,3600,3600,3600,3600,3600,3600,3600
51193.30135202408,3600,3600,0.5303919315338135,3600,792.7709600925446,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39400.76630091667,3600,3600,84.5032868385315,214.17685270309448,1154.3837118148804,3600,341.6851894855499,319.2052836418152,3600,3600,1286.8119764328003,3600,3600,3600,3600,3600
47657.22529101372,3600,80.92590570449829,3600,340.9147973060608,3600,3600,3600,435.38458800315857,3600,3600,3600,3600,3600,3600,3600,3600
23551.95969724655,20.50553607940674,50.7438645362854,1.236067295074463,428.87472462654114,746.9241862297058,352.2064301967621,260.47617387771606,374.4530100822449,1412.6728785037994,3600,1487.0642294883728,416.8025963306427,3600,3600,3600,3600
42210.66475391388,3600,183.56275177001953,202.03299379348755,304.8767340183258,1481.2982993125916,3600,3600,438.89397501945496,3600,3600,3600,3600,3600,3600,3600,3600
28073.583861112595,210.60402393341064,32.56709265708923,1455.824611902237,23.892848014831543,158.68922305107117,321.0131072998047,166.81752371788025,12.652905941009521,491.5225245952606,3600,3600,3600,3600,3600,3600,3600
51185.41859412193,3600,3600,0.22553086280822754,3600,785.1930632591248,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
42262.650483846664,3600,3600,77.4926404953003,110.83812832832336,577.7435195446014,3600,418.7501609325409,3600,3600,3600,1477.8260345458984,3600,3600,3600,3600,3600
32468.252252578735,12.486160278320312,39.55299782752991,12.786677122116089,85.59156775474548,1458.7722473144531,785.9991161823273,144.04356026649475,3600,1129.0199258327484,3600,3600,3600,3600,3600,3600,3600
35100.90838432312,609.6953551769257,30.654099464416504,3.468187093734741,452.24648809432983,324.0792679786682,3600,268.88703322410583,3600,1011.8779532909393,3600,3600,3600,3600,3600,3600,3600
24359.001021146774,21.423317909240723,37.19100069999695,2.33358097076416,162.96335983276367,39.786526918411255,198.61645412445068,158.38701939582825,39.04230785369873,452.7566704750061,3600,3600,3600,3600,3600,3600,1646.5007829666138
31350.008968114853,101.03182315826416,588.3286843299866,392.60103011131287,37.914326190948486,336.7826130390167,3600,397.16777873039246,25.477087259292603,670.705625295639,3600,3600,3600,3600,3600,3600,3600
24397.101669311523,21.249757528305054,37.4724907875061,2.3357787132263184,164.90332555770874,39.756285190582275,189.30147552490234,157.70455956459045,37.56495666503906,452.679562330246,3600,3600,3600,3600,3600,3600,1694.1334774494171
32444.405620098114,13.19819951057434,39.24351263046265,12.458234071731567,85.77149367332458,1445.6873660087585,785.6962380409241,144.15416550636292,3600,1118.1964106559753,3600,3600,3600,3600,3600,3600,3600
26713.4528632164,50.47556686401367,39.25276446342468,44.159610748291016,230.52100944519043,51.45190715789795,92.10049080848694,186.81983494758606,84.75149893760681,733.9201798439026,3600,3600,3600,3600,3600,3600,3600
24730.73065495491,36.70631790161133,51.8000431060791,4.642139911651611,96.9208116531372,8.611650943756104,464.7562437057495,76.49900436401367,37.928786516189575,987.6186978816986,3600,1365.2469589710236,3600,3600,3600,3600,3600
28930.380951166153,89.93916416168213,67.58242988586426,7.460399150848389,183.11102533340454,893.4256751537323,3600,569.0766489505768,323.85820627212524,3600,3600,1091.826332807541,504.1010694503784,3600,3600,3600,3600
27789.023586273193,3600,77.08790254592896,0.6099209785461426,1570.282440662384,1158.41624045372,1474.1435782909393,371.033429145813,1495.1880280971527,749.0540452003479,3600,1327.0689101219177,173.97939825057983,3600,3600,3600,1392.1596925258636
31597.9415102005,139.34686756134033,46.874823808670044,55.79217886924744,741.9967634677887,3600,153.71812796592712,223.40575051307678,312.3945333957672,1124.4124646186829,3600,3600,3600,3600,3600,3600,3600
25877.56640815735,33.712820053100586,45.03946113586426,40.60945749282837,24.419123888015747,967.2430028915405,3600,289.95182180404663,522.996931552887,701.5378596782684,3600,794.3393762111664,857.7165534496307,3600,3600,3600,3600
34343.779591321945,26.02971363067627,50.077093839645386,10.43135666847229,100.75384950637817,3600,3600,200.8281922340393,110.4733395576477,1445.186045885086,3600,3600,3600,3600,3600,3600,3600
35670.19869327545,3600,110.99146795272827,1.5353424549102783,1217.314966917038,1488.8742575645447,3600,103.99717664718628,108.66447472572327,3600,3600,3600,238.82100701332092,3600,3600,3600,3600
31018.941837787628,613.4235689640045,26.929680347442627,3600,101.48134398460388,1010.0966794490814,931.5354073047638,330.83836460113525,759.6950008869171,506.84813237190247,3600,1538.093659877777,3600,3600,3600,3600,3600
26025.637762784958,13.104337692260742,48.424846172332764,4.420977592468262,478.352908372879,700.5821363925934,1328.175062417984,211.8621392250061,368.6136064529419,723.4179122447968,3600,3600,548.683836221695,3600,3600,3600,3600
