Score,8d31ec9edeac705ffd1b23f0cc4f3256,8bcd3f3e269fa3c9516667b626d61602,70ce0cff914efdc48f2a8fe86b5c68c6,10196804504080e7107809a2e5b3bfcc,a811388cc92def6ef2d639dc062d456c,f26f199564d6ffac7e700c2e66470ec0,5918f1624d4dfd964227356786a4e9ec,8b797110ff321ee673eab1542069f192,4a6a797c6b4a8055d10b74edda9a5e30,f57aba96bfed8f8a8b860eba1a8f1ea5,7d58f2f0c79cbcad0496ced184ba0680,deef4e5f8bf88393cea9589dff97d70c,a98d77ba9d3fbe8b7c55cbf75b2b43a8,a09a2d7397732447bdcc9651973767b7,428da12ab8f5f68ae261e6468c2fef73,00b46ace235e3915a439c77a231a5657,71cf538aa0751d27f144de9c8d82e458,af5838e83024d2dee3942be8d8e35fec,7dc81d3cb9066f8bc06ceffbca237572,b157aeb75aec9158fed9e16d7fd2da57
59726.79281592369,1353.2194864749908,276.3661060333252,194.24718022346497,3600,302.9600431919098,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
69176.0519361496,3600,3600,3600,3600,776.0519361495972,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
69136.11086344719,3600,3600,3600,3600,736.1108634471893,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
59281.177950143814,65.52599358558655,1042.8539233207703,305.8365502357483,3600,266.961483001709,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
62532.84277009964,23.260563373565674,3600,3600,167.82695364952087,1141.7552530765533,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
62971.69673538208,219.8075613975525,3600,3600,60.3359808921814,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1491.5531930923462
58687.23183608055,128.94365906715393,254.3067855834961,395.98566365242004,3600,3600,307.9957277774811,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56023.394129514694,184.7322862148285,30.704835653305054,186.8613519668579,1279.4057745933533,341.6898810863495,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57913.10822033882,159.34774160385132,23.149920225143433,127.3238914012909,3.2866671085357666,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65636.2069888115,671.814804315567,164.3921844959259,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58884.71071267128,860.420666217804,25.407650232315063,48.73191595077515,350.15048027038574,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58799.74765396118,120.42101883888245,26.50105905532837,3600,902.4225084781647,150.40306758880615,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65058.97472119331,215.4386386871338,43.53608250617981,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
70151.89759516716,1751.89759516716,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58463.51033306122,123.95881223678589,250.1856939792633,3600,438.8176944255829,50.54813241958618,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
69192.55921602249,3600,3600,3600,792.5592160224915,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55533.803897857666,391.0702702999115,117.63271117210388,722.6091845035553,62.630895137786865,239.86083674430847,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57847.74609184265,477.3025805950165,34.953856468200684,670.5437440872192,960.5231585502625,1704.4227521419525,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56193.892085790634,433.1756851673126,49.472246170043945,244.4471719264984,318.64018964767456,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1148.1567928791046
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56490.61426472664,99.28926610946655,336.7236077785492,443.30856466293335,1388.4032430648804,3600,3600,3600,3600,3600,3600,3600,3600,3600,222.88958311080933,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60371.58044433594,1514.0279035568237,333.3858904838562,305.3540654182434,618.8125848770142,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
52428.04891991615,111.27714657783508,184.38546776771545,289.12515139579773,11.937658309936523,763.567848443985,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,667.7556474208832
56674.81753754616,424.9168543815613,411.50431180000305,178.80068016052246,332.0091772079468,1327.5865139961243,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58880.422933101654,287.93956184387207,126.373779296875,39.95523762702942,826.1543543338776,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58873.7103664875,280.1057493686676,127.08857131004333,40.019686222076416,826.4963595867157,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60789.850855112076,791.8194708824158,491.1071219444275,1099.5173275470734,3600,807.4069347381592,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54894.4211909771,159.48212385177612,56.88695955276489,239.24991106987,283.78237867355347,155.01981782913208,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58878.845616579056,33.93262553215027,85.9844491481781,265.83089542388916,3600,893.0976464748383,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60270.86189842224,1034.0302140712738,799.1779308319092,3600,114.5861291885376,723.0676243305206,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54896.74824690819,160.04682803153992,57.16698384284973,239.23563838005066,284.4868984222412,155.81189823150635,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54894.73805451393,159.17837858200073,56.75043320655823,239.10065412521362,283.92478609085083,155.78380250930786,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55554.73093819618,227.48792695999146,129.1076807975769,108.92454528808594,3600,191.1819944381714,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,898.0287907123566
58141.8213994503,265.68832874298096,66.22553873062134,129.64529871940613,80.2622332572937,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
