Score,303480ca7e8322d771c94caf4ebd4e95,6f7a0e1cf94b6b26eafc08a827a692ce,c5ae0ec49de0959cd14431ce851c14f8,170b13af977e962321c493544b2bd0a9,0336f81b60baac5b8f481dd3c32861a5,adf6dacdd64c93f9de1aa0eadf427faa,37ca184832fc6fa43a22ae900f1756a2,e2deb375e56da2360ecd08fc1179fb7d,73063c6257a4ffc29f5bea7028403a64,556cf803f9de4b2ec688825b5ff7e325,385e2c7010a419a9bd47b9258c9d2903,4fdcf4248a332c1c9a89d37439c879a9,6e5efd19744842d1fa5415173bffbf6b,71ec94c233016219e12d671594dc88e5,0fa8623240b5c14c1308f863a6dc88ab,828e1066a477e98e8d834528df3fc874,5f6861053fb4ed4fc0b997cd6b505ef4,e6d247292b525447a220323901842e4c,fa50d69adc71fe4daf7f9088cd02864a,4d2f74ef97b6d40ebd71f85dcb75c543,c69c5163c9087ffe770743bd4cdafcc9,835ac60ca83af6f334b64b61c4ad345b,1a20649a8c79d6675d934cec271d573f,b68ae7866df5e852c3acb97a46da2faf,ff5170c690129f8c94658e82b6aab05c,7ac7fabd8c078aea420087a0c80e5563,07b476c83150d3cb7e08f5d045e255ab,670a24d73dbadd3073e9604c6ef903d1,396fd56f3fd7b85afbba4254ea6e746c,36dbc206c7d9773bebb03f752070cee9,1153a473e1d5dd21ccd33189d594a4aa,9e6c2e7b0d6f58e449716deb9305525a
85927.62258768082,9.827739000320435,11.12319040298462,147.48119854927063,166.67290258407593,187.47796177864075,345.59435963630676,512.8033978939056,843.5534965991974,903.0883412361145,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
76183.63816595078,2.812469244003296,3600,3600,6.2988975048065186,3600,12.793026447296143,20.98236870765686,30.89450693130493,3600,3600,3600,3600,3600,144.33060550689697,3600,3600,3600,3600,3600,3600,3600,3600,3600,25.0787615776062,3600,25.00321674346924,3600,3600,59.192819356918335,5.544679641723633,3600,250.70681428909302
86977.01679801941,193.97098350524902,91.03608894348145,15.504164218902588,597.060254573822,21.227161169052124,951.8711347579956,3600,517.9851129055023,312.59565830230713,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1475.766239643097,3600,3600,3600
82366.88202524185,7.1085734367370605,529.0256960391998,3600,11.555771112442017,3600,171.05281853675842,52.60960268974304,161.29376745224,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,413.60120248794556,3600,63.83790826797485,3600,3600,1080.9856629371643,3600,3600,675.8110222816467
77325.62048482895,26.39460301399231,88.46643877029419,117.99757695198059,77.95343661308289,1009.3663210868835,16.062631130218506,3600,311.460328578949,35.785473585128784,3600,3600,2.5240840911865234,3600,3600,3600,20.02204179763794,3600,19.587549209594727,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
75864.72598743439,1.6674869060516357,3600,3600,3.038421869277954,3600,4.302599191665649,9.59060549736023,27.188502311706543,3600,3600,3600,3600,3600,28.571216106414795,3600,3600,3600,3600,3600,3600,3600,3600,3600,3.150113105773926,3600,9.670432090759277,3600,3600,39.889569997787476,5.348814487457275,3600,132.30822587013245
97647.34558606148,231.8465485572815,15.524927377700806,3600,1309.2307040691376,3600,3600,3600,14.91545581817627,807.3240234851837,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1668.5039267539978,3600,3600,3600,3600,3600,3600,3600,3600
106287.63088154793,1071.3737969398499,91.30552363395691,724.9515609741211,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56849.88112139702,8.855791330337524,34.530399799346924,1524.9495060443878,18.441864490509033,132.70293855667114,26.03040909767151,60.95824670791626,80.84291052818298,45.38127636909485,3600,3600,3.036717653274536,3600,260.6887102127075,3600,20.019657135009766,3600,23.907634258270264,3600,3600,3600,3600,3600,49.04189205169678,3600,81.31406831741333,3600,3600,78.29573059082031,3600,3600,400.8833682537079
83793.87176322937,8.312581300735474,410.676212310791,3600,5.142639875411987,3600,143.6674349308014,35.183003664016724,130.31440424919128,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,46.36513328552246,3600,46.456463098526,3600,3600,167.75389051437378,3600,3600,3600
