Score,ddd3b43476c18cf483aac233d4dc1c68,3a7a64e1d6cf5ce969b2b05b5464f707,1b86f59ce4c43f19f0ad1238f8c362b4,b44611ea7852dd30215cc1cb09e1ab79,291c2b4fa2d8b009cd2a8331891ba667,d3529338d35aa27e8024932d3b5f64b5,93a87994c03a7752f85d863239555d48,44ad104c3b0c83b4cfc260583dee2397,9631e4082abf03e560b889c5715d3979,bdc85226a8d910a8b7d6a8730c7a4572,090eefb9bc472f6478e70baf2c6d2403,98c6da979a0a22d384d465a1da17111e,339b1cfda231aaca601cd6339c07ca2c,a83665715cf54e10f6d5382b97fd909c,d66ab8bce1b8979dbd26b3c220e817be,fdc5aa7c150fd1c49ad3b50433277528,ea5b47b3ffb3b8cb77a2cff83cc1ffba,d46c3fc9e953d4f84e8a18e52e29e7b7,1d42a7c3616ce163e292340cfcd34f97,150b5f8cac40bb4e0fcbdd65c3c04701
38960.24757671356,173.2152965068817,6.334467887878418,21.641021966934204,26.193978548049927,485.72005677223206,413.5460057258606,14.59938669204712,438.88221049308777,668.8436191082001,711.2715330123901,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36801.63523507118,62.078250885009766,48.03206467628479,105.39296412467957,49.85037088394165,110.52256083488464,45.074958086013794,79.02363920211792,53.333616495132446,124.87219524383545,123.45461463928223,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36997.58224821091,71.20134496688843,74.23587393760681,79.94040703773499,102.49837279319763,149.9731891155243,80.99164652824402,77.05815434455872,79.39959216117859,143.75393271446228,138.52973461151123,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36269.47207355499,12.169766426086426,34.550063371658325,25.09851884841919,26.941209316253662,24.57915735244751,20.15388560295105,21.32222318649292,20.969240188598633,25.8387553691864,57.84925389289856,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36150.722675561905,6.890287637710571,15.020515441894531,13.711886644363403,18.040627002716064,15.345937728881836,11.430520057678223,11.996074438095093,12.605066537857056,16.36593222618103,29.3158278465271,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3447.374691963196,2.8182601928710938,9.131107091903687,3.5512044429779053,7.702082395553589,4.050491809844971,3.3689353466033936,3.509153127670288,3.6526060104370117,4.289111375808716,10.197237968444824,89.28952288627625,147.83326196670532,387.34560441970825,590.574479341507,204.32837295532227,180.34822130203247,308.3396248817444,311.34264039993286,662.2306735515594,513.4721004962921
3761.498702764511,1.9909605979919434,5.732503890991211,5.360100746154785,3.108064651489258,7.516771554946899,2.757634162902832,2.7142183780670166,5.952349662780762,6.0015869140625,9.345868825912476,113.00667548179626,202.1891531944275,277.204140663147,282.2430672645569,414.6462392807007,178.29436612129211,490.414835691452,603.1570293903351,798.3355233669281,351.5276129245758
13712.490698337555,4.056480407714844,6.043395519256592,7.636989593505859,8.25537109375,6.628724098205566,5.453994035720825,7.117766618728638,5.895653963088989,9.062529802322388,9.065932989120483,186.84636163711548,446.0742778778076,1305.6456966400146,1081.9150841236115,356.87226462364197,629.7992646694183,1625.0525641441345,811.0683465003967,3600,3600
1595.7919299602509,2.4264862537384033,3.3518147468566895,2.0858078002929688,2.149991273880005,3.467702627182007,1.845348834991455,1.7935519218444824,3.300600528717041,2.346893787384033,4.547059774398804,105.17342376708984,39.64814853668213,185.10489988327026,308.067010641098,33.579766273498535,153.54375386238098,261.92731952667236,61.56190752983093,278.27187299728394,141.59856939315796
540.6437413692474,1.5385894775390625,3.6891415119171143,2.144941568374634,2.3762660026550293,3.7620959281921387,1.9307940006256104,39.96032118797302,3.4142653942108154,2.464585065841675,5.0607686042785645,18.96951460838318,29.286872625350952,54.03160881996155,48.34658098220825,26.183693885803223,35.069512128829956,71.81734013557434,54.180070877075195,70.59795498847961,65.81882357597351
