Score,2b043efb4bde6d83f7c95a8e8e2d7bf8,7cbc3ce2052ba7c5b501f75af58ab3c4,5ee7de2bd112aa39485e79c9d487bf8f,2fcd8533eba981967292f1b6e41f7433,08ccc34df5d8eb9e9d45278af3dc093d,3129198788f182ce6955b18aa3c7e61e,9276ce38c625b2d00de247f8588f1542,79b9e24dd9af185dbec18c9b0a32b1e2,f86dad4ba35369eb720a0c9ddc45037a,00f4aca773e5675f35263dcd46b15bde,9f3ef12b5b68f92eb9265721ea73bb03,25b7a69d04a5029cf4ba2f483b5bec45,30e680ded3b9be6be0b5baac273f2646,7f2b4b2bde9b866b93fbfe01341213da,075ca0a158690a55b7254d9aaee2e103,cfc53adcc8ed18ca161bb6f8bc02b237,4989239fbeb6eb40fc0b664d9ba92636,9a413c250f82a93d513d4092ba654ee2,8fcc57f6c75cb2ac48d19e3038ad3c6c,96ae6bde39369f75aa975b0f5b74c325,1b02025658c2a23e1fd3ce0a9c3633cb,305ad7d773d6c72be9b1efbf7bf482e0,558113ad4d50130351db8c426230a50f,711ff7681711949f44b07a0d530dc729,cd33a862b81ba7b887845d3510c41c62,a8dc92a9c0434576b47c82c94ab5c446,3f341c57c37d86350af5233b8e15e52e,78d23f235b63b1b7f08eb1b6cfb03f34,df237594dc22b8f7cad2c4b38a23e40c,9fe43145e48a0ef0096bb72531f1a0e3,20be6aa61af15fd53b4c48eb3f2f3319,caead0e04b6de4365822b25dfd55967f
29561.892399787903,0.2305142879486084,0.23856735229492188,0.2357480525970459,0.24690485000610352,0.24985194206237793,0.2535974979400635,6.481343746185303,45.151249408721924,62.802592754364014,103.64941501617432,104.66565680503845,125.07710337638855,171.284184217453,171.98742270469666,172.69362664222717,174.41767525672913,179.43319606781006,179.88817477226257,182.28892350196838,196.17687821388245,333.1212511062622,408.84406876564026,426.9725139141083,525.7882423400879,789.7136971950531,3600,3600,3600,3600,3600,3600,3600
115200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
48745.63623094559,7.734987497329712,8.055116653442383,8.042465209960938,6.54679799079895,3.9136581420898438,10.476947546005249,1078.0591950416565,66.89349102973938,5.965041875839233,384.5666184425354,3600,1073.3345363140106,934.5836822986603,1362.231153011322,987.6449029445648,1120.4632272720337,1517.6475579738617,920.5593812465668,1062.0835218429565,108.28812432289124,408.4475293159485,3600,3600,3600,1119.3221867084503,550.7761082649231,3600,3600,3600,3600,3600,3600
91708.9651620388,0.008280515670776367,0.0087890625,0.009206771850585938,0.008740425109863281,0.006596803665161133,0.009036540985107422,3600,3600,3600,3600,1708.9145119190216,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53151.39730000496,3600,3600,3600,3600,3600,3600,3600,87.53702020645142,22.777430534362793,10.52780532836914,261.9556074142456,298.7872722148895,204.60767722129822,193.25925946235657,197.96077847480774,195.9503092765808,203.51472234725952,188.82660698890686,194.9189555644989,55.62649393081665,217.72983527183533,429.86963653564453,457.3277237415314,736.2432236671448,1127.4907722473145,1266.486169576645,3600,3600,3600,3600,3600,3600
93600.05102229118,0.009507179260253906,0.00845956802368164,0.00897073745727539,0.008392333984375,0.006946563720703125,0.008745908737182617,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
74766.04903817177,0.008198261260986328,0.010563850402832031,0.008664608001708984,0.008002996444702148,0.006924152374267578,0.010107040405273438,3600,50.797523021698,221.02284622192383,3600,3600,3600,613.8784437179565,3600,492.8047115802765,3600,3600,722.5048372745514,3600,664.9882154464722,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
35694.94573688507,7.501697301864624,7.950778484344482,8.536453008651733,4.023137331008911,2.2955236434936523,7.119805097579956,15.241466760635376,383.08686327934265,6.440960168838501,3600,167.22187280654907,276.59169125556946,152.91310858726501,150.18970036506653,159.0200138092041,162.50417494773865,170.0899498462677,151.66008830070496,167.3261435031891,80.1436972618103,111.3248565196991,370.032830953598,354.2393946647644,379.4915289878845,3600,3600,3600,3600,3600,3600,3600,3600
55346.2280728817,0.00845026969909668,0.008745908737182617,0.009203672409057617,0.007966279983520508,0.006338357925415039,0.009471654891967773,3600,655.2294657230377,625.1576023101807,20.492351293563843,3600,3600,599.2086222171783,723.6914653778076,633.3724231719971,628.4105081558228,609.0258843898773,610.5668773651123,813.5417146682739,1780.391354084015,3600,3600,3600,3600,356.3191170692444,490.7705109119415,3600,3600,3600,3600,3600,3600
42203.87877988815,14.40727162361145,14.524231195449829,17.349241971969604,12.561269998550415,6.109160900115967,18.079899311065674,110.14921140670776,26.22848153114319,9.119092226028442,3600,732.5225279331207,954.5599956512451,464.605975151062,482.22323966026306,448.04624819755554,506.34470295906067,449.99751687049866,497.6038587093353,472.4586145877838,179.57332730293274,496.1173872947693,1435.9608583450317,1239.0313425064087,1216.3053245544434,3600,3600,3600,3600,3600,3600,3600,3600
55086.598405599594,3600,3600,3600,3600,3600,3600,3600,16.885930061340332,844.6714985370636,1081.758412361145,358.3992657661438,285.6169593334198,180.9374759197235,193.17045497894287,196.66061878204346,239.9530634880066,250.70320224761963,239.86524200439453,183.86890983581543,40.467262268066406,77.56637167930603,448.1807634830475,437.4728653430939,429.9424684047699,1749.7818825244904,1030.6957585811615,3600,3600,3600,3600,3600,3600
93600.04872179031,0.008180856704711914,0.008394718170166016,0.009196758270263672,0.007341623306274414,0.006912708282470703,0.008695125579833984,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55965.93086242676,3600,3600,3600,3600,3600,3600,3600,15.911553859710693,1057.0590949058533,303.4478826522827,306.2818202972412,112.66463804244995,172.80613040924072,186.30975651741028,171.99517607688904,196.07840657234192,174.1680657863617,217.6330761909485,181.86661577224731,328.7737798690796,125.22564840316772,424.69402837753296,398.6373927593231,437.62897062301636,3600,754.7488253116608,3600,3600,3600,3600,3600,3600
30257.992570877075,20.520249605178833,103.03679823875427,1.0342869758605957,18.765549182891846,0.3363018035888672,23.0113627910614,45.81821322441101,43.97974395751953,21.259955406188965,187.87848258018494,165.2818386554718,346.8883616924286,236.37061142921448,218.11618375778198,224.47000360488892,233.83647394180298,235.92140245437622,234.75064945220947,226.30664658546448,77.73603439331055,47.364662647247314,654.8493189811707,621.8226358890533,515.2636158466339,3600,553.3731877803802,3600,3600,3600,3600,3600,3600
61007.70619225502,3600,3600,3600,3600,3600,3600,3600,3600,3600,6.133758306503296,205.11078548431396,94.04082322120667,170.89656710624695,171.56656956672668,184.75602173805237,181.5935492515564,184.33795928955078,184.49403166770935,179.35555148124695,175.38919305801392,72.55381631851196,416.03450322151184,425.2883653640747,419.1487019062042,3600,337.0059952735901,3600,3600,3600,3600,3600,3600
53704.07088136673,3600,3600,3600,3600,3600,3600,3600,75.07384657859802,1007.1386282444,202.88431596755981,22.66276502609253,456.1214063167572,247.75752019882202,207.3839545249939,174.82905292510986,241.74401664733887,170.98069834709167,185.50398969650269,197.79565286636353,24.33787751197815,153.76652789115906,532.6605632305145,480.7539038658142,560.7389583587646,1170.4239819049835,791.5132212638855,3600,3600,3600,3600,3600,3600
88951.95965266228,3600,3600,3600,3600,3600,3600,3600,3600,3600,1.3392906188964844,407.8752670288086,3600,257.3777244091034,3600,618.830953836441,231.27231788635254,3600,3600,453.3919107913971,3600,94.89983034133911,486.97235774993896,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27526.733825683594,2.33305025100708,2.245312213897705,3.0117201805114746,1.0435364246368408,0.8632180690765381,3.812162160873413,12.106889009475708,20.634875535964966,18.60414171218872,294.8310914039612,215.84749150276184,643.4157736301422,181.23678636550903,170.4680736064911,173.68038988113403,178.99813222885132,171.95501518249512,186.19628930091858,246.54872107505798,11.782219171524048,253.02420902252197,485.3994674682617,398.813218832016,410.8590831756592,860.4323070049286,978.5906512737274,3600,3600,3600,3600,3600,3600
88643.18196964264,3600,3600,3600,3600,3600,3600,3600,206.514630317688,154.62165117263794,424.91438150405884,3600,3600,3600,204.99880623817444,3600,3600,196.0328450202942,195.67123889923096,3600,209.55151462554932,3600,3600,650.8769018650055,3600,3600,3600,3600,3600,3600,3600,3600,3600
