Config,Score,Mean,7429e380834066c206394139c9e1e17d,3ed56242f55e3653dbceeb4a70221787,71a3dd6156463c0c55c4b38394faa753,16c27d738cb45b766b8823ca4f428cf0,e99e266b422513a2898c13898a1de501,c9f511adbb3d6e1b37b410f972f270c6,82d9e8d2cfea101dfe52c8359b7bb163,be18894105e006399cc018abc14b204f,f16b7329ef5728f722c291156b3b098e,1a1c9d1dc1ae7fcff92e3c3499864b75,170a7d847694ee4cfa5c421757672882,695e287a447fcdd924985a6e73057a38,38833d6a1ff6a56ef22bd2dc1e3fdde7,1b0f4ff7984b8d4cf2873200fb1680fb,94571e8a1081385029d1ecd53ffcdf8e,0bad2ce307bf5b68db26fa34e252c9d4
restart=0,23058.20812869072,1441.13800804317,84.39599466323853,232.30524325370789,715.1215071678162,2000,883.5985217094421,800.2447040081024,2000,2000,2000,2000,2000,2000,2000,2000,2000,342.5421578884125
stable=0,25540.04761838913,1596.2529761493206,692.5063230991364,844.0611736774445,727.241539478302,2000,510.64266991615295,765.5959122180939,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,23428.689692258835,1464.2931057661772,105.67236351966858,133.77085304260254,428.93091797828674,2000,97.02312850952148,663.2924292087555,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,21893.18341732025,1368.3239635825157,11.666692018508911,89.44873476028442,475.4525136947632,2000,716.6473751068115,683.1371734142303,990.2684514522552,926.5624768733978,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,18751.738399744034,1171.983649984002,11.635256052017212,85.17765426635742,810.9648296833038,389.0829510688782,416.206570148468,696.9221720695496,921.0970797538757,461.5521674156189,2000,959.099719285965,2000,2000,2000,2000,2000,2000
target=0,20667.54478240013,1291.7215489000082,276.01578068733215,666.0583221912384,710.4897253513336,534.21923995018,473.1695725917816,645.068793296814,2000,2000,2000,971.3199348449707,2000,2000,2000,2000,2000,391.2034134864807
target=2,21707.85451722145,1356.7409073263407,145.58983731269836,197.62567019462585,162.7799847126007,2000,81.00372648239136,732.0169231891632,2000,388.8383753299713,2000,2000,2000,2000,2000,2000,2000,2000
transitive=0,23235.55009651184,1452.22188103199,452.84231996536255,710.8934333324432,386.8837511539459,2000,299.06346821784973,740.3449342250824,2000,645.522189617157,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,20999.05929350853,1312.441205844283,150.81574249267578,83.03258466720581,859.5431804656982,2000,160.7305829524994,569.7549545764923,2000,220.20735597610474,2000,954.9748923778534,2000,2000,2000,2000,2000,2000
warmup=0,23552.642016649246,1472.040126040578,229.25047612190247,2000,847.4536437988281,323.81515431404114,533.6319386959076,654.07994556427,964.4108581542969,2000,2000,2000,2000,2000,2000,2000,2000,2000
