Config,Score,Mean,eecdcc36d35f06224cc972cbb08de804,faeb113864d97ea4cb3f01f95d2fe92f,cea96962ebd736646af54d950943d909,68649ac2830edad5d0dc7e3d13935132,71758ed7637888d4fd4593ec820677bc,c1324a6876269ee93890e266fe214557,1a40d2d8c589799a0d267cae03fcd4c5,bca01a49805df3399a0438191019e417,751402d0738e5622b599c651283cb48a,d84a89fb1bc1ff37dc4737867257b290,c1b5c3d1016de7baeb0ddb3a2ab2d891,a18b6fbdfee43c007e07dedf15477797,9de6ddddf7fde06bf2efd955e2bd1a83,a4941208671f6ebfd118e4e563538c31,f35ed23733431177436a1e7797c07dfe,c0069efa0c924e416878d9426f1ef92e
phase=0,8590.07367014885,536.8796043843031,454.64981055259705,256.98816871643066,253.8881287574768,502.4269292354584,245.03667283058167,404.41422963142395,130.4435293674469,137.58676624298096,476.8208703994751,266.329252243042,229.54742765426636,498.7365913391113,669.7261147499084,63.4791784286499,2000,2000
phasesaving=0,10020.224852323532,626.2640532702208,227.6680498123169,237.7535524368286,237.35973048210144,407.7219307422638,112.27423119544983,654.1356198787689,212.33228063583374,2000,102.17620921134949,401.2479546070099,2000,655.1005973815918,407.37029504776,221.51148653030396,2000,143.57291436195374
preprocess=0,12369.041061401367,773.0650663375854,113.84195590019226,621.9541938304901,59.63585543632507,674.0864198207855,176.3680078983307,230.22133660316467,380.2511739730835,685.339873790741,122.40564203262329,391.0738151073456,2000,691.9892337322235,2000,221.873553276062,2000,2000
probe=0,9334.817088842392,583.4260680526495,275.41689109802246,221.81058931350708,205.35663509368896,209.36886596679688,99.58976745605469,110.43261575698853,220.4633846282959,231.4759485721588,398.30342197418213,414.29072093963623,2000,233.94385623931885,232.8580093383789,2000,2000,481.50638246536255
randec=0,13394.939506292343,837.1837191432714,378.93771982192993,223.47832083702087,238.8623652458191,234.36523127555847,235.29543375968933,692.9334452152252,123.4131088256836,2000,231.64276003837585,111.24970626831055,2000,651.6275460720062,2000,273.133868932724,2000,2000
reluctant=0,13062.414311885834,816.4008944928646,722.9038574695587,2000,84.50341296195984,127.33569025993347,255.5704505443573,239.20731210708618,123.62018537521362,280.2074279785156,242.03966331481934,748.499575138092,2000,774.0571460723877,481.02272725105286,2000,2000,983.446863412857
reorder=1,10772.58667063713,673.2866669148207,2000,456.7496905326843,422.3800165653229,953.3632254600525,123.60914325714111,236.99649906158447,228.98283529281616,262.4833312034607,433.2875623703003,432.59001421928406,2000,63.39241313934326,266.0287172794342,459.6650221347809,2000,433.0582001209259
reorder=0,7671.551260709763,479.47195379436016,985.4106464385986,228.84013557434082,243.07551836967468,240.40713596343994,231.67228817939758,422.2551484107971,246.88844799995422,117.29418802261353,248.41237950325012,394.3157925605774,174.2422342300415,696.0845370292664,120.59381127357483,426.1200039386749,895.9389932155609,2000
rephase=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,15573.22517991066,973.3265737444162,2000,273.1507601737976,493.2545475959778,139.21316957473755,311.46302795410156,252.16670417785645,284.40740871429443,2000,502.398873090744,538.8671586513519,2000,489.6502606868744,288.6532692909241,2000,2000,2000
stable=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,10026.500927448273,626.656307965517,2000,269.5874903202057,438.0912997722626,428.6840150356293,434.0715730190277,263.94253730773926,156.21509718894958,687.4873366355896,38.33650517463684,437.9648857116699,279.21432518959045,284.77109360694885,981.4503314495087,634.2926228046417,2000,692.3918142318726
substitute=0,8780.704540252686,548.7940337657928,702.2878820896149,228.98331356048584,409.53784918785095,242.92832350730896,60.06236958503723,466.37234568595886,119.60900688171387,65.06555318832397,380.25304412841797,511.70911931991577,2000,267.3422317504883,271.17985916137695,372.6534516811371,682.7201905250549,2000
sweep=0,9600.501891851425,600.0313682407141,128.81846928596497,217.07261490821838,216.95756888389587,223.36931538581848,229.56352615356445,240.1220724582672,241.342027425766,348.6806364059448,413.8065733909607,434.23189902305603,487.6101679801941,693.3752567768097,744.3124392032623,981.2393245697021,2000,2000
target=0,15626.636482477188,976.6647801548243,2000,228.63939762115479,347.0057637691498,234.04750514030457,187.30039882659912,400.41938042640686,221.9981381893158,2000,119.25630354881287,597.9125113487244,2000,711.5579998493195,578.4990837574005,2000,2000,2000
target=2,9886.739139318466,617.9211962074041,73.17170858383179,113.03010106086731,420.7380213737488,253.90571570396423,404.4822564125061,415.33897638320923,206.1658537387848,412.24819350242615,99.1450469493866,233.0776264667511,2000,449.0806863307953,393.54712653160095,412.8078262805939,2000,2000
transitive=0,9698.050087690353,606.1281304806471,131.5126392841339,220.93677139282227,220.79919743537903,227.0531566143036,232.18801999092102,243.5785436630249,244.4459080696106,359.3633964061737,419.4000265598297,440.5593190193176,494.150582075119,708.5458085536957,761.6571366786957,993.8595819473267,2000,2000
vivify=0,10002.261875867844,625.1413672417402,225.7151801586151,242.0605435371399,229.67770552635193,119.39709186553955,118.60915803909302,125.64577293395996,236.50256156921387,697.7447707653046,231.32939386367798,408.63587975502014,266.85833644866943,2000,632.5341141223907,2000,2000,467.55136728286743
warmup=0,11894.89981007576,743.431238129735,2000,623.2516181468964,251.16992592811584,236.882732629776,126.0310263633728,428.8796422481537,322.24359154701233,665.1032528877258,117.36550521850586,248.32902145385742,947.358359336853,985.0962073802948,714.9121775627136,2000,228.2767493724823,2000
