Config,Score,Mean,ddd3b43476c18cf483aac233d4dc1c68,291c2b4fa2d8b009cd2a8331891ba667,d3529338d35aa27e8024932d3b5f64b5,3a7a64e1d6cf5ce969b2b05b5464f707,1b86f59ce4c43f19f0ad1238f8c362b4,44ad104c3b0c83b4cfc260583dee2397,9631e4082abf03e560b889c5715d3979,bdc85226a8d910a8b7d6a8730c7a4572,b44611ea7852dd30215cc1cb09e1ab79,98c6da979a0a22d384d465a1da17111e,090eefb9bc472f6478e70baf2c6d2403,a83665715cf54e10f6d5382b97fd909c,1d42a7c3616ce163e292340cfcd34f97,339b1cfda231aaca601cd6339c07ca2c,ea5b47b3ffb3b8cb77a2cff83cc1ffba,fdc5aa7c150fd1c49ad3b50433277528
lucky=0,13266.956626176834,829.1847891360521,18.44697642326355,47.066059589385986,49.03895688056946,44.09673070907593,63.51937389373779,52.71231937408447,91.32381057739258,184.78044056892395,107.7705328464508,2000,608.2014253139496,2000,2000,2000,2000,2000
phase=0,12799.021157741547,799.9388223588467,37.68708300590515,80.30590581893921,55.10875678062439,88.53003644943237,59.10980439186096,42.76865100860596,57.83224964141846,100.11587071418762,18.07974600791931,2000,259.4830539226532,2000,2000,2000,2000,2000
phasesaving=0,13178.656101703644,823.6660063564777,35.21319246292114,38.25950598716736,82.82317876815796,57.98355484008789,110.15754413604736,67.64055180549622,105.99131774902344,59.40131616592407,54.490137815475464,2000,566.6958019733429,2000,2000,2000,2000,2000
preprocess=0,12032.068546056747,752.0042841285467,31.747955560684204,80.30276489257812,78.86243915557861,74.74197101593018,74.58267569541931,52.76376032829285,78.47855353355408,58.89673733711243,85.49512267112732,654.3801846504211,2000,2000,2000,2000,2000,761.8163812160492
probe=0,16186.632238388062,1011.6645148992538,109.46899700164795,355.47976303100586,244.91552257537842,175.1836507320404,188.6346504688263,254.08744883537292,291.8157694339752,402.2532308101654,164.79320549964905,2000,2000,2000,2000,2000,2000,2000
randec=0,14372.890143156052,898.3056339472532,21.928173780441284,45.08340668678284,22.69536828994751,26.648701906204224,37.71360230445862,64.83182907104492,86.15229654312134,38.7370982170105,29.099666357040405,2000,2000,2000,2000,2000,2000,2000
reluctant=0,13018.574087381363,813.6608804613352,35.119460105895996,96.12125253677368,90.84570479393005,106.02585005760193,30.220574140548706,46.04642987251282,128.9795205593109,41.6203830242157,46.82665014266968,2000,396.76826214790344,2000,2000,2000,2000,2000
reorder=1,11469.58398270607,716.8489989191294,32.84722113609314,51.08745718002319,38.59921193122864,68.96653819084167,42.57335877418518,34.2820405960083,91.75477194786072,58.80800271034241,46.23736071586609,611.0772368907928,393.35078263282776,2000,2000,2000,2000,2000
reorder=0,15429.855652570724,964.3659782856703,18.674522161483765,179.48683643341064,162.1888508796692,159.0155873298645,126.5937750339508,128.97629618644714,199.37700653076172,307.1833553314209,148.35942268371582,2000,2000,2000,2000,2000,2000,2000
rephase=0,14672.848794221878,917.0530496388674,44.62182331085205,94.45915675163269,52.185640811920166,81.75778985023499,111.49203896522522,28.65777039527893,70.30553197860718,115.90639591217041,73.46264624595642,2000,2000,2000,2000,2000,2000,2000
restart=0,11076.19260931015,692.2620380818844,18.43334126472473,57.72382211685181,26.725505113601685,65.95505738258362,29.837937831878662,64.52809309959412,33.643083333969116,37.11699318885803,40.98819375038147,2000,244.40971684455872,2000,2000,2000,2000,456.8308653831482
stable=0,16246.841634273529,1015.4276021420956,88.78031826019287,351.5167832374573,214.74377727508545,169.81603837013245,205.92006945610046,251.37492990493774,298.0817766189575,463.13382959365845,203.47411155700684,2000,2000,2000,2000,2000,2000,2000
stable=2,8532.586607456207,533.286662966013,32.104299783706665,36.567596673965454,33.5319938659668,52.73797678947449,29.866005182266235,25.25405764579773,38.05699419975281,37.31948232650757,32.015626192092896,641.4632570743561,250.7739086151123,2000,2000,857.5901882648468,2000,465.30522084236145
substitute=0,15913.660328865051,994.6037705540657,135.8129653930664,199.31815767288208,203.5629403591156,175.65306496620178,97.67582368850708,257.10350918769836,172.27703952789307,459.9868903160095,212.26993775367737,2000,2000,2000,2000,2000,2000,2000
sweep=0,14467.594190120697,904.2246368825436,22.23448634147644,48.90748739242554,37.37859535217285,61.84975981712341,99.92881107330322,27.61052393913269,86.25679016113281,42.02854323387146,41.399192810058594,2000,2000,2000,2000,2000,2000,2000
target=0,14719.448084831238,919.9655053019524,39.96673011779785,91.36431956291199,75.1754138469696,85.34091472625732,42.91667175292969,86.59852576255798,109.5204689502716,84.4671323299408,104.09790778160095,2000,2000,2000,2000,2000,2000,2000
target=2,10854.067741155624,678.3792338222265,18.792568683624268,47.91043663024902,68.99763131141663,54.56877088546753,93.5325927734375,99.4921452999115,58.166918992996216,85.16017317771912,51.08049416542053,2000,562.2996942996979,2000,939.9343254566193,2000,774.1319894790649,2000
transitive=0,14563.626998662949,910.2266874164343,25.824472427368164,102.1827642917633,38.992374658584595,53.73711442947388,49.159202575683594,37.870221853256226,67.3305811882019,101.05530714988708,87.47496008872986,2000,2000,2000,2000,2000,2000,2000
vivify=0,13283.211490154266,830.2007181346416,35.66802144050598,40.064491987228394,67.22494864463806,32.47093677520752,44.089107513427734,48.84740853309631,63.043309450149536,77.78652691841125,81.78485488891602,792.2318840026855,2000,2000,2000,2000,2000,2000
warmup=0,13648.030733823776,853.001920863986,55.353338956832886,76.86707830429077,45.09717631340027,96.46118426322937,64.89634871482849,81.78909754753113,91.75008296966553,88.5393533706665,78.01390480995178,2000,2000,969.2631685733795,2000,2000,2000,2000
