Config,Score,Mean,0c9da400944b002f90fd385d4fdab385,74931e82fd208ed949fa44bccd80df6b,accf33a84bdf211bebbd2111fb7f6b91,4282ea42fd414bfd2c4bf81fe8a43e24,9cd3acdb765c15163bc239ae3a57f880,328da7966b09b2f6e99c93c4e877fbff,f18c7c7b8666458fd04ea7a253ae1e20,2b60f9be1439f63b7f174c6b8ca7fedf,8d2dfc50c1759dc11a6564d5c368c6df,63732c330adb8de8dd47ce1693b86d0e,41f4cb4992a481c9d43e2e1a4e2349ac,2e808d215e4155379a847b146ef38b34,6543793076c30fc7cdfa5a3c819cedc7,c7bf3517f47d583ae567de3db3708969,48539e7e4baae6db72cda7e8a9cecfa0,ee57608ea4b74f25aebca809d59711c9
lucky=0,22418.915935993195,1401.1822459995747,54.68989419937134,72.68575477600098,77.70474648475647,107.51196694374084,106.32357358932495,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,22426.55554008484,1401.6597212553024,70.55515050888062,73.88175392150879,78.79810428619385,110.9970850944519,92.32344627380371,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,21366.95835375786,1335.4348971098661,67.39188528060913,71.92571711540222,73.06674695014954,88.23923349380493,134.37679147720337,2000,931.9579794406891,2000,2000,2000,2000,2000,2000,2000,2000,2000
preprocess=0,22381.484231472015,1398.842764467001,54.8037428855896,77.05457091331482,82.51684045791626,95.61312818527222,71.49594902992249,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
probe=0,22590.158542871475,1411.8849089294672,90.74003744125366,148.67534136772156,175.99889039993286,76.89284014701843,97.8514335155487,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,21119.21226787567,1319.9507667422295,50.20111799240112,74.433180809021,79.25187087059021,90.65492463111877,131.23491525650024,2000,693.43625831604,2000,2000,2000,2000,2000,2000,2000,2000,2000
reluctant=0,22431.430947065353,1401.9644341915846,75.6540858745575,74.03897523880005,80.1547327041626,89.66048169136047,111.92267155647278,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,22484.598722696304,1405.287420168519,75.50105810165405,75.16558599472046,80.56008839607239,113.11899614334106,140.25299406051636,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,22356.931408405304,1397.3082130253315,55.09627056121826,73.97573471069336,79.07192206382751,92.2120201587677,56.57546091079712,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
rephase=0,22363.430393218994,1397.7143995761871,51.66723132133484,75.62383484840393,78.28367614746094,93.23908853530884,64.6165623664856,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,22673.42124891281,1417.0888280570507,51.81167507171631,72.39717769622803,85.12153100967407,85.9878659248352,378.10299921035767,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,22429.624411821365,1401.8515257388353,55.84339737892151,75.27459239959717,82.96978235244751,128.73659801483154,86.80004167556763,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,22660.395276784897,1416.274704799056,46.85638117790222,74.1596794128418,72.7495789527893,101.41674184799194,365.2128953933716,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,22399.928665161133,1399.9955415725708,69.17057847976685,69.09485697746277,71.55807590484619,105.66103982925415,84.44411396980286,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,22722.59701013565,1420.1623131334782,123.24656343460083,200.4706428050995,206.20984268188477,106.70125246047974,85.96870875358582,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,22426.79907798767,1401.6749423742294,54.72222685813904,76.42356753349304,85.6865165233612,107.58487701416016,102.38189005851746,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=2,20493.21751475334,1280.8260946720839,49.6518349647522,75.8840880393982,82.12303423881531,105.90380811691284,62.23967385292053,2000,2000,2000,2000,2000,117.4150755405426,2000,2000,2000,2000,2000
transitive=0,22388.6154153347,1399.2884634584188,76.52827286720276,77.18254327774048,79.60906147956848,93.35399723052979,61.941540479660034,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,21258.324895620346,1328.6453059762716,45.41253876686096,61.21917748451233,67.03703093528748,95.35416960716248,107.98747110366821,2000,2000,2000,2000,2000,881.3145077228546,2000,2000,2000,2000,2000
warmup=0,22396.68595600128,1399.79287225008,51.62553787231445,75.8496105670929,80.81473565101624,95.13354992866516,93.262521982193,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
