Config,Score,Mean,72b5ad031bf852634bc081f9da9a5a60,246afd75cb97a21144f368c00252a656,a4b05fbc5be28207b704e1fae4b7c8a0,965ca988015c9aee5a1a7b2136c1fe5d,dd169198070f9aa35015de65e8209a05,41a8365f60db55b71d949df6954e0db7,b09585f2346c207e9e14a3daf0de46cf,fd2af7622798171f23a4b8d2616df55e,11db226d109e82f93aaa3b2604173ff9,37d40a1092b58ad28285b9453872d211,4029fbae284eaf924b37b6f43d3a67fb,ae9b7950ef1513068bb9339893ec8c50,558ce551d2b933b7a5f1c7d2a6044930,824c21545e228872744675ae4ee32976,af1e84bc2ab44d87d1c4c0cbf9e601c5,c9af5b23c87350f5d817acc9ca7b69bb
phase=0,2478.342593193054,154.8964120745659,1.2257378101348877,2.665327787399292,4.920674800872803,8.002390146255493,14.235669612884521,19.782804489135742,14.308378458023071,24.247138023376465,23.90738582611084,129.42742037773132,116.72410988807678,238.41042041778564,341.19478058815,228.59694695472717,334.61717414855957,976.0762338638306
phasesaving=0,4016.0996248722076,251.00622655451298,1.230682373046875,3.286583185195923,3.905916213989258,11.411482572555542,13.501234769821167,25.52766752243042,31.36295247077942,52.51551103591919,33.039034843444824,180.1864824295044,253.35128569602966,193.5089988708496,363.7982132434845,440.73968029022217,408.7338993549347,2000
preprocess=0,1894.2840554714203,118.39275346696377,1.4822049140930176,3.014582395553589,4.667388916015625,6.453051805496216,11.207587957382202,13.594332933425903,16.096219539642334,21.388704538345337,26.622658252716064,129.41121768951416,121.18645119667053,113.59682202339172,740.0172834396362,253.55586051940918,85.88833427429199,346.1013550758362
probe=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,2195.6748325824738,137.2296770364046,1.2869951725006104,2.7279582023620605,4.749016523361206,7.4434494972229,11.895418882369995,14.273797512054443,29.267067432403564,20.665871143341064,26.274548530578613,123.20921015739441,124.07448172569275,137.85449695587158,386.12751841545105,259.420862197876,435.5534100532532,610.8507301807404
reluctant=0,3507.029247045517,219.1893279403448,1.3483998775482178,3.262129306793213,6.310337781906128,8.991578817367554,13.540671825408936,23.144444465637207,19.393876791000366,18.435267686843872,24.216062545776367,150.28961324691772,138.14355611801147,239.2330207824707,346.3570234775543,225.38405895233154,288.97920536994934,2000
reorder=1,2508.6116461753845,156.78822788596153,1.2378621101379395,2.8292558193206787,5.077843904495239,8.479542970657349,12.775574445724487,15.76812219619751,39.37819194793701,22.95080852508545,17.375814199447632,147.58925867080688,143.3908064365387,199.10962200164795,384.4232745170593,248.32872986793518,466.5643558502197,793.3325827121735
reorder=0,3374.6490235328674,210.91556397080421,1.3898613452911377,3.3622331619262695,4.390077114105225,9.120049476623535,12.404641389846802,17.1727032661438,29.21557307243347,22.540005922317505,63.90621519088745,89.80120849609375,98.57696628570557,164.50940561294556,406.5647449493408,169.45072889328003,282.2446093559265,2000
rephase=0,3607.2141094207764,225.45088183879852,1.4146084785461426,3.164997100830078,3.2188003063201904,9.729889869689941,12.257654905319214,34.35008430480957,13.470449209213257,33.024216651916504,22.077922582626343,115.13839197158813,146.22933077812195,191.22804141044617,434.58184146881104,371.99702405929565,215.3308563232422,2000
restart=0,4504.377853870392,281.5236158668995,1.7815372943878174,11.47472071647644,6.9101011753082275,15.077140092849731,18.386531352996826,21.9443302154541,23.397014617919922,85.14096403121948,104.86370801925659,137.68977284431458,184.25713205337524,186.85881114006042,824.7735419273376,220.87746667861938,660.9450817108154,2000
stable=0,2780.12086725235,173.75755420327187,1.1826977729797363,2.1688971519470215,5.138545513153076,7.797088384628296,17.36995768547058,27.86872172355652,16.38384771347046,25.060662984848022,28.380990982055664,151.74854183197021,107.29193210601807,133.33299231529236,341.67623233795166,756.0800261497498,232.09439086914062,926.5453417301178
stable=2,4943.345352888107,308.9590845555067,0.9815127849578857,4.677429437637329,3.6663658618927,54.19847798347473,11.846051692962646,18.812999963760376,107.84398794174194,214.5408229827881,117.13083267211914,159.35269403457642,355.397536277771,237.5022006034851,2000,581.6461198329926,479.8499495983124,595.898371219635
substitute=0,2049.9240057468414,128.1202503591776,1.2862327098846436,3.4346771240234375,3.2800824642181396,7.355587720870972,10.602678775787354,18.923890352249146,35.297229290008545,24.798211097717285,38.29940104484558,85.44199633598328,148.39580988883972,171.57649159431458,387.2685205936432,238.0385239124298,293.468154668808,582.4565181732178
sweep=0,3703.1000895500183,231.44375559687614,1.126220464706421,2.8431396484375,3.121774196624756,8.081136703491211,15.299408674240112,18.442402362823486,21.598186016082764,25.02914571762085,36.301613330841064,99.71363639831543,134.5067880153656,197.07921767234802,327.29016041755676,382.9331040382385,429.7341558933258,2000
target=0,3378.9484934806824,211.18428084254265,1.161081075668335,2.6323227882385254,5.283673048019409,7.920941352844238,12.016481876373291,23.435306787490845,15.683051586151123,19.203592777252197,18.974005460739136,128.82137298583984,139.6870973110199,233.45187139511108,293.72445845603943,198.62091398239136,278.33232259750366,2000
target=2,2359.903609275818,147.49397557973862,1.3042387962341309,3.4428210258483887,4.345306873321533,9.702281951904297,13.463087797164917,40.05197787284851,22.734164476394653,37.83199954032898,66.50790333747864,117.26616048812866,95.62993359565735,263.2483379840851,303.06627202033997,176.50234484672546,355.91304540634155,848.8937332630157
transitive=0,2770.301398038864,173.143837377429,1.2951478958129883,3.123220443725586,3.2943780422210693,7.97976016998291,15.096993207931519,19.759739875793457,20.430078744888306,25.621800184249878,18.957188367843628,100.94704270362854,150.29256439208984,209.38443112373352,364.5240981578827,371.9547526836395,490.07153248786926,967.5686695575714
vivify=0,2210.5754199028015,138.1609637439251,1.1048967838287354,3.273531198501587,4.819777011871338,8.2543203830719,11.892677307128906,18.415837287902832,24.55737566947937,21.831875562667847,19.053508043289185,141.238219499588,95.8841335773468,184.9654769897461,305.8606860637665,251.66855764389038,325.1691241264343,792.5854227542877
warmup=0,3653.4658677577972,228.34161673486233,1.2502658367156982,2.7136154174804688,4.859219074249268,6.982010841369629,12.82765007019043,15.490018129348755,16.583314895629883,25.055649518966675,50.839399337768555,126.66442799568176,111.35829734802246,153.8332495689392,366.38970017433167,359.2316689491272,399.3873805999756,2000
