Config,Score,Mean,18babbd2835b8a37c6299f8b0301c7c9,8ade10da9731ce31d103c1687ff40a3d,41c39c9a2d75ca50b603ea7c3d86106a,eca3692344e30ae83a49158b5baf3372,1d1af993697599892804df5878d58979,4fd2e4e6ecb4fe8d3f9e1fda81633469,fab0db1ab0dd5baa3215aab51ab69355,c9f7ca549a6773bea4628e2c66f597c6,d89718e39ff99638c2882b47988120cd,96e01064ac3b644143278c21859e201f,82fe0a5b2467d6e5299c315da8b16ec5,c115ebeec47bb82fa7f9850a632ec94a,6e9cae5108bd423666c73aaace197769,d8fa4265b93d0931ba6484e3cc0d7ab1,f08b3567642ea029452fff2c1d10c132,19c6a29181bee2f3aa03bfb5c5d693d0
backbone=0,6957.069230556488,434.8168269097805,5.74404764175415,6.2623817920684814,6.723604440689087,6.882594108581543,7.643331527709961,22.917918920516968,23.281641244888306,38.198601722717285,69.38362956047058,72.00357055664062,99.07415270805359,233.59426426887512,365.35949206352234,2000.0,2000.0,2000.0
backbone=2,6952.346591234207,434.52166195213795,5.327750205993652,5.875235319137573,6.323649883270264,6.451691389083862,7.239339351654053,22.57516050338745,22.923819541931152,37.84527516365051,69.02901601791382,71.6875536441803,99.09389758110046,233.0564169883728,364.91778564453125,2000.0,2000.0,2000.0
bump=0,10051.90341424942,628.2439633905888,5.6787285804748535,3.5504300594329834,5.041698455810547,4.668550968170166,5.456545829772949,5.691801071166992,3.4104325771331787,4.4711902141571045,4.60445237159729,2000.0,5.3173558712005615,4.01222825050354,2000.0,2000.0,2000.0,2000.0
chrono=0,6506.226319074631,406.6391449421644,5.28101921081543,24.465330839157104,4.388072490692139,70.43993020057678,5.353742361068726,8.166237354278564,5.009273529052734,3.3077948093414307,4.660531044006348,141.56095385551453,4.18142557144165,5.555103778839111,223.8569040298462,2000.0,2000.0,2000.0
congruence=0,6746.798726081848,421.6749203801155,29.44344997406006,123.17519807815552,26.087153673171997,30.325010538101196,5.760779619216919,4.43445897102356,22.263932704925537,41.49886631965637,6.062693357467651,83.2998526096344,3.6906604766845703,3.142049551010132,367.61462020874023,2000.0,2000.0,2000.0
eliminate=0,8299.676230430603,518.7297644019127,5.323184490203857,5.856048583984375,6.304694414138794,6.4614198207855225,7.241130113601685,9.708226919174194,6.911590099334717,44.1024706363678,26.928056478500366,108.32528328895569,55.697773456573486,16.816352128982544,2000.0,2000.0,2000.0,2000.0
extract=0,6390.200550079346,399.3875343799591,5.3377296924591064,5.869388818740845,6.3099284172058105,6.454289674758911,7.236529111862183,10.496273517608643,7.0992350578308105,13.79514455795288,118.52902293205261,65.05960202217102,17.26516556739807,17.586643934249878,109.16159677505493,2000.0,2000.0,2000.0
factor=0,4794.1097502708435,299.6318593919277,4.1326234340667725,21.78084421157837,5.655864000320435,56.590126514434814,6.513027906417847,6.977741003036499,3.4138309955596924,16.537264823913574,3.347748279571533,34.32988452911377,23.094598531723022,17.576295852661133,30.667280197143555,2000.0,2000.0,563.4926199913025
fastel=0,5163.652173280716,322.72826083004475,26.499483585357666,3.1791138648986816,4.17292046546936,17.004359006881714,4.224480390548706,4.945429563522339,4.585296392440796,17.9808988571167,6.559455156326294,252.6581974029541,7.522161483764648,4.704447269439697,368.9926962852478,2000.0,2000.0,440.62323355674744
forward=0,6539.987219333649,408.74920120835304,5.324439287185669,5.863870859146118,6.3116295337677,6.449229955673218,7.236732006072998,21.91016411781311,58.99127459526062,17.717632055282593,31.28739857673645,72.16373252868652,21.612009286880493,19.20307230949402,265.91603422164917,2000.0,2000.0,2000.0
lucky=0,6347.8437530994415,396.7402345687151,35.248735427856445,60.00282287597656,5.165929794311523,7.089025974273682,6.216042518615723,5.688937664031982,56.73816180229187,15.610859155654907,6.452083110809326,39.965538024902344,8.2146737575531,6.663809061050415,94.78713393211365,2000.0,2000.0,2000.0
phase=0,6346.804648160934,396.6752905100584,3.1141908168792725,2.1860930919647217,3.0931031703948975,2.625337600708008,3.353569984436035,3.139754056930542,40.68926477432251,1.7321181297302246,2.4366354942321777,171.28096556663513,2.13877010345459,1.9643750190734863,109.05047035217285,2000.0,2000.0,2000.0
phasesaving=0,6685.73864865303,417.8586655408144,7.158854007720947,25.073085069656372,6.667435884475708,20.488070011138916,5.108658313751221,6.997106075286865,5.137086391448975,21.965864896774292,5.408493280410767,12.974785327911377,23.197736501693726,4.2210612297058105,541.3404116630554,2000.0,2000.0,2000.0
preprocess=0,7180.822746515274,448.8014216572046,5.175906181335449,22.386871814727783,8.677926778793335,27.09190034866333,32.94740438461304,6.515019178390503,25.37270951271057,3.7389943599700928,22.047284841537476,514.9949948787689,22.732282876968384,96.0866310596466,393.05482029914856,2000.0,2000.0,2000.0
probe=0,6342.2699909210205,396.3918744325638,2.1137869358062744,91.62202072143555,2.3916680812835693,21.069555521011353,20.63093400001526,20.03402042388916,2.467648506164551,1.0762913227081299,14.561951875686646,86.84916114807129,49.40582346916199,16.394243478775024,13.652885437011719,2000.0,2000.0,2000.0
